"産業小分類","総数(経営組織)_事業所数","総数(経営組織)_従業者数(注)","総数(経営組織)_従業者数(注)_男","総数(経営組織)_従業者数(注)_女","総数(経営組織)_従業者数(注)_うち常用雇用者(注)","総数(経営組織)_従業者数(注)_うち常用雇用者(注)_男","総数(経営組織)_従業者数(注)_うち常用雇用者(注)_女","総数(経営組織)_従業者数(注)_うち常用雇用者(注)_うち正社員・正職員(注)","総数(経営組織)_従業者数(注)_うち常用雇用者(注)_うち正社員・正職員(注)_男","総数(経営組織)_従業者数(注)_うち常用雇用者(注)_うち正社員・正職員(注)_女"
"　　　　272 サービス用・娯楽用機械器具製造業","4.0","24.0","15.0","9.0","21.0","13.0","8.0","13.0","11.0","2.0"
"　　　　273 計量器・測定器・分析機器・試験機・測量機械器具・理化学機械器具製造業","7.0","256.0","187.0","69.0","247.0","179.0","68.0","189.0","169.0","20.0"
"　　　　274 医療用機械器具・医療用品製造業","11.0","128.0","100.0","28.0","112.0","90.0","22.0","100.0","86.0","14.0"
"　　　　275 光学機械器具・レンズ製造業","1.0","477.0","280.0","197.0","474.0","277.0","197.0","321.0","269.0","52.0"
"　　　　276 武器製造業","-","-","-","-","-","-","-","-","-","-"
"　　　28 電子部品・デバイス・電子回路製造業","17.0","954.0","611.0","343.0","907.0","582.0","325.0","681.0","483.0","198.0"
"　　　　280 管理，補助的経済活動を行う事業所","1.0","9.0","4.0","5.0","2.0","1.0","1.0","2.0","1.0","1.0"
"　　　　281 電子デバイス製造業","-","-","-","-","-","-","-","-","-","-"
"　　　　282 電子部品製造業","4.0","259.0","206.0","53.0","254.0","204.0","50.0","128.0","115.0","13.0"
"　　　　283 記録メディア製造業","-","-","-","-","-","-","-","-","-","-"
"　　　　284 電子回路製造業","2.0","259.0","172.0","87.0","247.0","163.0","84.0","241.0","163.0","78.0"
"　　　　285 ユニット部品製造業","-","-","-","-","-","-","-","-","-","-"
"　　　　289 その他の電子部品・デバイス・電子回路製造業","10.0","427.0","229.0","198.0","404.0","214.0","190.0","310.0","204.0","106.0"
"　　　29 電気機械器具製造業","68.0","2078.0","1453.0","625.0","1967.0","1376.0","591.0","1531.0","1220.0","311.0"
"　　　　290 管理，補助的経済活動を行う事業所","2.0","3.0","2.0","1.0","3.0","2.0","1.0","3.0","2.0","1.0"
"　　　　291 発電用・送電用・配電用電気機械器具製造業","37.0","597.0","422.0","175.0","526.0","370.0","156.0","399.0","345.0","54.0"
"　　　　292 産業用電気機械器具製造業","8.0","455.0","217.0","238.0","451.0","214.0","237.0","310.0","189.0","121.0"
"　　　　293 民生用電気機械器具製造業","7.0","193.0","106.0","87.0","174.0","98.0","76.0","140.0","82.0","58.0"
"　　　　294 電球・電気照明器具製造業","3.0","49.0","30.0","19.0","44.0","26.0","18.0","25.0","23.0","2.0"
"　　　　295 電池製造業","6.0","653.0","563.0","90.0","646.0","557.0","89.0","538.0","470.0","68.0"
"　　　　296 電子応用装置製造業","1.0","9.0","6.0","3.0","9.0","6.0","3.0","6.0","6.0","-"
"　　　　297 電気計測器製造業","3.0","71.0","60.0","11.0","66.0","56.0","10.0","63.0","56.0","7.0"
"　　　　299 その他の電気機械器具製造業","1.0","48.0","47.0","1.0","48.0","47.0","1.0","47.0","47.0","-"
"　　　30 情報通信機械器具製造業","7.0","330.0","185.0","145.0","321.0","181.0","140.0","281.0","175.0","106.0"
"　　　　300 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-"
"　　　　301 通信機械器具・同関連機械器具製造業","3.0","319.0","177.0","142.0","314.0","175.0","139.0","274.0","169.0","105.0"
"　　　　302 映像・音響機械器具製造業","1.0","3.0","2.0","1.0","1.0","1.0","-","1.0","1.0","-"
"　　　　303 電子計算機・同附属装置製造業","3.0","8.0","6.0","2.0","6.0","5.0","1.0","6.0","5.0","1.0"
"　　　31 輸送用機械器具製造業","69.0","873.0","688.0","185.0","717.0","576.0","141.0","594.0","524.0","70.0"
"　　　　310 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-"
"　　　　311 自動車・同附属品製造業","18.0","321.0","242.0","79.0","281.0","214.0","67.0","223.0","196.0","27.0"
"　　　　312 鉄道車両・同部分品製造業","1.0","9.0","8.0","1.0","7.0","6.0","1.0","5.0","4.0","1.0"
"　　　　313 船舶製造・修理業，舶用機関製造業","45.0","483.0","397.0","86.0","377.0","321.0","56.0","330.0","292.0","38.0"
"　　　　314 航空機・同附属品製造業","-","-","-","-","-","-","-","-","-","-"
"　　　　315 産業用運搬車両・同部分品・附属品製造業","-","-","-","-","-","-","-","-","-","-"
"　　　　319 その他の輸送用機械器具製造業","5.0","60.0","41.0","19.0","52.0","35.0","17.0","36.0","32.0","4.0"
"　　　32 その他の製造業","360.0","2334.0","1347.0","987.0","1684.0","924.0","760.0","1153.0","788.0","365.0"
"　　　　320 管理，補助的経済活動を行う事業所","4.0","50.0","18.0","32.0","38.0","15.0","23.0","25.0","14.0","11.0"
"　　　　321 貴金属・宝石製品製造業","4.0","12.0","5.0","7.0","7.0","2.0","5.0","1.0","1.0","-"
"　　　　322 装身具・装飾品・ボタン・同関連品製造業(貴金属・宝石製を除く)","18.0","308.0","191.0","117.0","276.0","171.0","105.0","203.0","153.0","50.0"
"　　　　323 時計・同部分品製造業","1.0","3.0","2.0","1.0","-","-","-","-","-","-"
"　　　　324 楽器製造業","1.0","9.0","6.0","3.0","6.0","3.0","3.0","5.0","3.0","2.0"
"　　　　325 がん具・運動用具製造業","31.0","331.0","189.0","142.0","278.0","154.0","124.0","172.0","137.0","35.0"
"　　　　326 ペン・鉛筆・絵画用品・その他の事務用品製造業","1.0","2.0","1.0","1.0","-","-","-","-","-","-"
"　　　　327 漆器製造業","79.0","351.0","166.0","185.0","223.0","79.0","144.0","146.0","69.0","77.0"
"　　　　328 畳等生活雑貨製品製造業","119.0","678.0","383.0","295.0","449.0","239.0","210.0","319.0","209.0","110.0"
"　　　　329 他に分類されない製造業","102.0","590.0","386.0","204.0","407.0","261.0","146.0","282.0","202.0","80.0"
"　　　EZ 製造業 内格付不能","32.0","939.0","874.0","65.0","878.0","834.0","44.0","842.0","815.0","27.0"
"　　　　EZZ 製造業 内格付不能","32.0","939.0","874.0","65.0","878.0","834.0","44.0","842.0","815.0","27.0"
"　　F 電気・ガス・熱供給・水道業","37.0","1625.0","1539.0","86.0","1602.0","1518.0","84.0","1574.0","1500.0","74.0"
"　　　33 電気業","25.0","1471.0","1405.0","66.0","1467.0","1401.0","66.0","1449.0","1388.0","61.0"
"　　　　330 管理，補助的経済活動を行う事業所","17.0","1041.0","978.0","63.0","1041.0","978.0","63.0","1029.0","971.0","58.0"
"　　　　331 電気業","8.0","430.0","427.0","3.0","426.0","423.0","3.0","420.0","417.0","3.0"
"　　　34 ガス業","3.0","95.0","83.0","12.0","90.0","78.0","12.0","86.0","76.0","10.0"
"　　　　340 管理，補助的経済活動を行う事業所","1.0","66.0","60.0","6.0","66.0","60.0","6.0","66.0","60.0","6.0"
"　　　　341 ガス業","2.0","29.0","23.0","6.0","24.0","18.0","6.0","20.0","16.0","4.0"
"　　　35 熱供給業","1.0","3.0","3.0","-","3.0","3.0","-","3.0","3.0","-"
"　　　　350 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-"
"　　　　351 熱供給業","1.0","3.0","3.0","-","3.0","3.0","-","3.0","3.0","-"
"　　　36 水道業","8.0","56.0","48.0","8.0","42.0","36.0","6.0","36.0","33.0","3.0"
"　　　　360 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-"
"　　　　361 上水道業","1.0","7.0","6.0","1.0","5.0","5.0","-","5.0","5.0","-"
"　　　　362 工業用水道業","-","-","-","-","-","-","-","-","-","-"
"　　　　363 下水道業","7.0","49.0","42.0","7.0","37.0","31.0","6.0","31.0","28.0","3.0"
"　　　FZ 電気・ガス・熱供給・水道業 内格付不能","-","-","-","-","-","-","-","-","-","-"
"　　　　FZZ 電気・ガス・熱供給・水道業 内格付不能","-","-","-","-","-","-","-","-","-","-"
"　　G 情報通信業","267.0","3291.0","1823.0","1378.0","2748.0","1530.0","1218.0","1897.0","1311.0","586.0"
"　　　37 通信業","34.0","466.0","276.0","190.0","428.0","252.0","176.0","361.0","234.0","127.0"
"　　　　370 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-"
"　　　　371 固定電気通信業","7.0","208.0","177.0","31.0","192.0","165.0","27.0","183.0","158.0","25.0"
"　　　　372 移動電気通信業","3.0","49.0","40.0","9.0","49.0","40.0","9.0","49.0","40.0","9.0"
"　　　　373 電気通信に附帯するサービス業","24.0","209.0","59.0","150.0","187.0","47.0","140.0","129.0","36.0","93.0"
"　　　38 放送業","18.0","415.0","230.0","95.0","317.0","224.0","93.0","139.0","115.0","24.0"
"　　　　380 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-"
"　　　　381 公共放送業(有線放送業を除く)","1.0","91.0","57.0","34.0","91.0","57.0","34.0","60.0","49.0","11.0"
"　　　　382 民間放送業(有線放送業を除く)","9.0","247.0","112.0","45.0","150.0","107.0","43.0","36.0","30.0","6.0"
"　　　　383 有線放送業","8.0","77.0","61.0","16.0","76.0","60.0","16.0","43.0","36.0","7.0"
"　　　39 情報サービス業","123.0","1587.0","815.0","772.0","1346.0","666.0","680.0","857.0","601.0","256.0"
"　　　　390 管理，補助的経済活動を行う事業所","1.0","1.0","1.0","-","1.0","1.0","-","1.0","1.0","-"
"　　　　391 ソフトウェア業","68.0","689.0","461.0","228.0","551.0","375.0","176.0","500.0","362.0","138.0"
"　　　　392 情報処理・提供サービス業","54.0","897.0","353.0","544.0","794.0","290.0","504.0","356.0","238.0","118.0"
"　　　40 インターネット附随サービス業","11.0","87.0","53.0","34.0","73.0","40.0","33.0","57.0","40.0","17.0"
"　　　　400 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-"
"　　　　401 インターネット附随サービス業","11.0","87.0","53.0","34.0","73.0","40.0","33.0","57.0","40.0","17.0"
"　　　41 映像・音声・文字情報制作業","78.0","708.0","445.0","263.0","557.0","344.0","213.0","458.0","317.0","141.0"
"　　　　410 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-"
"　　　　411 映像情報制作・配給業","9.0","125.0","63.0","62.0","67.0","26.0","41.0","59.0","25.0","34.0"
"　　　　412 音声情報制作業","-","-","-","-","-","-","-","-","-","-"
"　　　　413 新聞業","13.0","350.0","217.0","133.0","317.0","193.0","124.0","254.0","183.0","71.0"
"　　　　414 出版業","12.0","96.0","70.0","26.0","66.0","45.0","21.0","54.0","37.0","17.0"
"　　　　415 広告制作業","7.0","34.0","17.0","17.0","18.0","9.0","9.0","14.0","8.0","6.0"
"　　　　416 映像・音声・文字情報制作に附帯するサービス業","37.0","103.0","78.0","25.0","89.0","71.0","18.0","77.0","64.0","13.0"
"　　　G1 通信業，放送業，映像・音声・文字情報制作業 内格付不能","3.0","28.0","4.0","24.0","27.0","4.0","23.0","25.0","4.0","21.0"
"　　　　G1Z 通信業，放送業，映像・音声・文字情報制作業 内格付不能","3.0","28.0","4.0","24.0","27.0","4.0","23.0","25.0","4.0","21.0"
"　　　G2 情報サービス業，インターネット附随サービス業 内格付不能","-","-","-","-","-","-","-","-","-","-"
"　　　　G2Z 情報サービス業，インターネット附随サービス業 内格付不能","-","-","-","-","-","-","-","-","-","-"
"　　H 運輸業，郵便業","981.0","20201.0","16946.0","3255.0","18129.0","15423.0","2706.0","13516.0","12603.0","913.0"
"　　　42 鉄道業","41.0","1586.0","1435.0","151.0","1586.0","1435.0","151.0","1556.0","1414.0","142.0"
"　　　　420 管理，補助的経済活動を行う事業所","1.0","12.0","11.0","1.0","12.0","11.0","1.0","12.0","11.0","1.0"
"　　　　421 鉄道業","40.0","1574.0","1424.0","150.0","1574.0","1424.0","150.0","1544.0","1403.0","141.0"
"　　　43 道路旅客運送業","142.0","3228.0","2912.0","316.0","2945.0","2684.0","261.0","2030.0","1895.0","135.0"
"　　　　430 管理，補助的経済活動を行う事業所","1.0","16.0","12.0","4.0","15.0","11.0","4.0","12.0","9.0","3.0"
"　　　　431 一般乗合旅客自動車運送業","15.0","604.0","556.0","48.0","573.0","525.0","48.0","366.0","350.0","16.0"
"　　　　432 一般乗用旅客自動車運送業","105.0","2052.0","1851.0","201.0","1935.0","1766.0","169.0","1382.0","1292.0","90.0"
"　　　　433 一般貸切旅客自動車運送業","19.0","502.0","448.0","54.0","387.0","350.0","37.0","259.0","234.0","25.0"
"　　　　439 その他の道路旅客運送業","2.0","54.0","45.0","9.0","35.0","32.0","3.0","11.0","10.0","1.0"
"　　　44 道路貨物運送業","549.0","9963.0","8767.0","1196.0","8591.0","7723.0","868.0","7244.0","6835.0","409.0"
"　　　　440 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-"
"　　　　441 一般貨物自動車運送業","490.0","9525.0","8395.0","1130.0","8271.0","7438.0","833.0","6977.0","6586.0","391.0"
"　　　　442 特定貨物自動車運送業","20.0","174.0","155.0","19.0","131.0","120.0","11.0","102.0","97.0","5.0"
"　　　　443 貨物軽自動車運送業","29.0","103.0","81.0","22.0","52.0","44.0","8.0","37.0","32.0","5.0"
"　　　　444 集配利用運送業","7.0","102.0","81.0","21.0","80.0","68.0","12.0","73.0","67.0","6.0"
"　　　　449 その他の道路貨物運送業","3.0","59.0","55.0","4.0","57.0","53.0","4.0","55.0","53.0","2.0"
"　　　45 水運業","40.0","302.0","251.0","51.0","221.0","190.0","31.0","200.0","181.0","19.0"
"　　　　450 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-"
"　　　　451 外航海運業","-","-","-","-","-","-","-","-","-","-"
"　　　　452 沿海海運業","17.0","119.0","97.0","22.0","90.0","73.0","17.0","83.0","72.0","11.0"
"　　　　453 内陸水運業","8.0","51.0","39.0","12.0","37.0","30.0","7.0","29.0","25.0","4.0"
"　　　　454 船舶貸渡業","15.0","132.0","115.0","17.0","94.0","87.0","7.0","88.0","84.0","4.0"
"　　　46 航空運輸業","1.0","3.0","2.0","1.0","3.0","2.0","1.0","3.0","2.0","1.0"
"　　　　460 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-"
"　　　　461 航空運送業","1.0","3.0","2.0","1.0","3.0","2.0","1.0","3.0","2.0","1.0"
"　　　　462 航空機使用業(航空運送業を除く)","-","-","-","-","-","-","-","-","-","-"
"　　　47 倉庫業","45.0","1121.0","426.0","695.0","1022.0","384.0","638.0","253.0","223.0","30.0"
"　　　　470 管理，補助的経済活動を行う事業所","2.0","20.0","16.0","4.0","18.0","15.0","3.0","13.0","11.0","2.0"
"　　　　471 倉庫業(冷蔵倉庫業を除く)","30.0","815.0","299.0","516.0","743.0","265.0","478.0","204.0","179.0","25.0"
"　　　　472 冷蔵倉庫業","13.0","286.0","111.0","175.0","261.0","104.0","157.0","36.0","33.0","3.0"
"　　　48 運輸に附帯するサービス業","99.0","1773.0","1459.0","314.0","1591.0","1330.0","261.0","1268.0","1132.0","136.0"
"　　　　480 管理，補助的経済活動を行う事業所","1.0","5.0","4.0","1.0","5.0","4.0","1.0","5.0","4.0","1.0"
"　　　　481 港湾運送業","11.0","462.0","439.0","23.0","430.0","410.0","20.0","422.0","403.0","19.0"
"　　　　482 貨物運送取扱業(集配利用運送業を除く)","20.0","177.0","149.0","28.0","147.0","133.0","14.0","129.0","119.0","10.0"
"　　　　483 運送代理店","7.0","34.0","18.0","16.0","30.0","17.0","13.0","22.0","13.0","9.0"
"　　　　484 こん包業","10.0","196.0","146.0","50.0","168.0","135.0","33.0","132.0","119.0","13.0"
"　　　　485 運輸施設提供業","8.0","311.0","284.0","27.0","299.0","272.0","27.0","250.0","225.0","25.0"
"　　　　489 その他の運輸に附帯するサービス業","42.0","588.0","419.0","169.0","512.0","359.0","153.0","308.0","249.0","59.0"
"　　　49 郵便業(信書便事業を含む)","51.0","2063.0","1607.0","456.0","2060.0","1605.0","455.0","911.0","872.0","39.0"
"　　　　490 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-"
"　　　　491 郵便業(信書便事業を含む)","51.0","2063.0","1607.0","456.0","2060.0","1605.0","455.0","911.0","872.0","39.0"
"　　　HZ 運輸業，郵便業 内格付不能","13.0","162.0","87.0","75.0","110.0","70.0","40.0","51.0","49.0","2.0"
"　　　　HZZ 運輸業，郵便業 内格付不能","13.0","162.0","87.0","75.0","110.0","70.0","40.0","51.0","49.0","2.0"
"　　I 卸売業，小売業","13910.0","84766.0","40247.0","44411.0","60438.0","27264.0","33066.0","28426.0","19145.0","9277.0"
"　　　50 各種商品卸売業","9.0","62.0","44.0","18.0","50.0","36.0","14.0","48.0","35.0","13.0"
"　　　　500 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-"
"　　　　501 各種商品卸売業","9.0","62.0","44.0","18.0","50.0","36.0","14.0","48.0","35.0","13.0"
"　　　51 繊維・衣服等卸売業","106.0","755.0","350.0","405.0","559.0","233.0","326.0","309.0","192.0","117.0"
"　　　　510 管理，補助的経済活動を行う事業所","2.0","10.0","6.0","4.0","8.0","5.0","3.0","5.0","5.0","-"
"　　　　511 繊維品卸売業(衣服，身の回り品を除く)","21.0","101.0","41.0","60.0","73.0","23.0","50.0","41.0","19.0","22.0"
"　　　　512 衣服卸売業","27.0","189.0","86.0","103.0","128.0","54.0","74.0","81.0","44.0","37.0"
"　　　　513 身の回り品卸売業","56.0","455.0","217.0","238.0","350.0","151.0","199.0","182.0","124.0","58.0"
"　　　52 飲食料品卸売業","857.0","7108.0","3958.0","3150.0","4979.0","2746.0","2233.0","2736.0","1960.0","776.0"
"　　　　520 管理，補助的経済活動を行う事業所","5.0","66.0","28.0","38.0","65.0","27.0","38.0","16.0","11.0","5.0"
"　　　　521 農畜産物・水産物卸売業","508.0","4715.0","2563.0","2152.0","3169.0","1722.0","1447.0","1553.0","1122.0","431.0"
"　　　　522 食料・飲料卸売業","344.0","2327.0","1367.0","960.0","1745.0","997.0","748.0","1167.0","827.0","340.0"
"　　　53 建築材料，鉱物・金属材料等卸売業","670.0","4355.0","3144.0","1211.0","3153.0","2292.0","861.0","2670.0","2076.0","594.0"
"　　　　530 管理，補助的経済活動を行う事業所","5.0","23.0","18.0","5.0","21.0","18.0","3.0","21.0","18.0","3.0"
"　　　　531 建築材料卸売業","353.0","2128.0","1523.0","605.0","1522.0","1076.0","446.0","1270.0","971.0","299.0"
"　　　　532 化学製品卸売業","137.0","972.0","707.0","265.0","687.0","520.0","167.0","607.0","489.0","118.0"
"　　　　533 石油・鉱物卸売業","68.0","543.0","400.0","143.0","425.0","314.0","111.0","359.0","279.0","80.0"
"　　　　534 鉄鋼製品卸売業","47.0","300.0","209.0","91.0","223.0","155.0","68.0","201.0","143.0","58.0"
"　　　　535 非鉄金属卸売業","3.0","8.0","6.0","2.0","5.0","4.0","1.0","5.0","4.0","1.0"
"　　　　536 再生資源卸売業","57.0","381.0","281.0","100.0","270.0","205.0","65.0","207.0","172.0","35.0"
"　　　54 機械器具卸売業","460.0","3127.0","2367.0","760.0","2588.0","1979.0","609.0","2302.0","1836.0","466.0"
"　　　　540 管理，補助的経済活動を行う事業所","4.0","11.0","8.0","3.0","8.0","6.0","2.0","8.0","6.0","2.0"
"　　　　541 産業機械器具卸売業","159.0","935.0","717.0","218.0","723.0","561.0","162.0","647.0","523.0","124.0"
"　　　　542 自動車卸売業","116.0","759.0","566.0","193.0","601.0","451.0","150.0","494.0","397.0","97.0"
"　　　　543 電気機械器具卸売業","119.0","793.0","617.0","176.0","684.0","543.0","141.0","613.0","502.0","111.0"
"　　　　549 その他の機械器具卸売業","62.0","629.0","459.0","170.0","572.0","418.0","154.0","540.0","408.0","132.0"
"　　　55 その他の卸売業","704.0","5294.0","3169.0","2125.0","4061.0","2432.0","1629.0","3109.0","2220.0","889.0"
"　　　　550 管理，補助的経済活動を行う事業所","7.0","46.0","21.0","25.0","39.0","20.0","19.0","17.0","13.0","4.0"
"　　　　551 家具・建具・じゅう器等卸売業","168.0","986.0","571.0","415.0","693.0","372.0","321.0","557.0","343.0","214.0"
"　　　　552 医薬品・化粧品等卸売業","177.0","1607.0","988.0","619.0","1334.0","883.0","451.0","1113.0","799.0","314.0"
"　　　　553 紙・紙製品卸売業","46.0","290.0","164.0","126.0","196.0","104.0","92.0","152.0","98.0","54.0"
"　　　　559 他に分類されない卸売業","306.0","2365.0","1425.0","940.0","1799.0","1053.0","746.0","1270.0","967.0","303.0"
"　　　56 各種商品小売業","28.0","2843.0","624.0","2219.0","2589.0","536.0","2053.0","503.0","301.0","202.0"
"　　　　560 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-"
"　　　　561 百貨店，総合スーパー","14.0","2759.0","600.0","2159.0","2543.0","525.0","2018.0","487.0","295.0","192.0"
"　　　　569 その他の各種商品小売業(従業者が常時50人未満のもの)","14.0","84.0","24.0","60.0","46.0","11.0","35.0","16.0","6.0","10.0"
"　　　57 織物・衣服・身の回り品小売業","1372.0","4551.0","1218.0","3333.0","2842.0","491.0","2351.0","1143.0","347.0","796.0"
"　　　　570 管理，補助的経済活動を行う事業所","5.0","40.0","13.0","27.0","30.0","7.0","23.0","11.0","6.0","5.0"
"　　　　571 呉服・服地・寝具小売業","228.0","624.0","255.0","369.0","242.0","56.0","186.0","148.0","50.0","98.0"
"　　　　572 男子服小売業","142.0","607.0","240.0","367.0","419.0","143.0","276.0","220.0","100.0","120.0"
"　　　　573 婦人・子供服小売業","623.0","1955.0","388.0","1567.0","1206.0","116.0","1090.0","459.0","81.0","378.0"
"　　　　574 靴・履物小売業","90.0","299.0","115.0","184.0","217.0","76.0","141.0","75.0","44.0","31.0"
"　　　　579 その他の織物・衣服・身の回り品小売業","284.0","1026.0","207.0","819.0","728.0","93.0","635.0","230.0","66.0","164.0"
"　　　58 飲食料品小売業","3504.0","25346.0","8998.0","16348.0","18585.0","5716.0","12869.0","4343.0","2514.0","1829.0"
"　　　　580 管理，補助的経済活動を行う事業所","12.0","161.0","63.0","98.0","139.0","47.0","92.0","28.0","25.0","3.0"
"　　　　581 各種食料品小売業","355.0","9799.0","2924.0","6875.0","8506.0","2335.0","6171.0","1636.0","1172.0","464.0"
"　　　　582 野菜・果実小売業","259.0","1106.0","402.0","704.0","538.0","144.0","394.0","189.0","88.0","101.0"
"　　　　583 食肉小売業","140.0","563.0","270.0","293.0","306.0","118.0","188.0","143.0","96.0","47.0"
"　　　　584 鮮魚小売業","228.0","876.0","468.0","408.0","437.0","211.0","226.0","262.0","176.0","86.0"
"　　　　585 酒小売業","596.0","1578.0","728.0","850.0","601.0","246.0","355.0","256.0","136.0","120.0"
"　　　　586 菓子・パン小売業","604.0","2769.0","755.0","2014.0","1814.0","344.0","1470.0","556.0","236.0","320.0"
"　　　　589 その他の飲食料品小売業","1310.0","8494.0","3388.0","5106.0","6244.0","2271.0","3973.0","1273.0","585.0","688.0"
"　　　59 機械器具小売業","1520.0","7647.0","5434.0","2213.0","5410.0","3880.0","1530.0","4450.0","3498.0","952.0"
"　　　　590 管理，補助的経済活動を行う事業所","3.0","63.0","48.0","15.0","58.0","44.0","14.0","47.0","41.0","6.0"
"　　　　591 自動車小売業","831.0","4744.0","3715.0","1029.0","3598.0","2884.0","714.0","3188.0","2696.0","492.0"
"　　　　592 自転車小売業","77.0","172.0","125.0","47.0","59.0","45.0","14.0","38.0","30.0","8.0"
"　　　　593 機械器具小売業(自動車，自転車を除く)","609.0","2668.0","1546.0","1122.0","1695.0","907.0","788.0","1177.0","731.0","446.0"
"　　　60 その他の小売業","4264.0","21729.0","9927.0","11694.0","14306.0","6270.0","7928.0","5973.0","3599.0","2370.0"
"　　　　600 管理，補助的経済活動を行う事業所","6.0","19.0","10.0","9.0","10.0","2.0","8.0","3.0","1.0","2.0"
"　　　　601 家具・建具・畳小売業","277.0","1127.0","640.0","487.0","643.0","314.0","329.0","445.0","254.0","191.0"
"　　　　602 じゅう器小売業","179.0","580.0","176.0","300.0","344.0","61.0","179.0","98.0","45.0","53.0"
"　　　　603 医薬品・化粧品小売業","769.0","4131.0","1029.0","3098.0","3141.0","632.0","2505.0","1156.0","371.0","781.0"
"　　　　604 農耕用品小売業","209.0","1094.0","723.0","371.0","704.0","464.0","240.0","584.0","421.0","163.0"
"　　　　605 燃料小売業","696.0","3428.0","2320.0","1108.0","2367.0","1651.0","716.0","1416.0","1073.0","343.0"
"　　　　606 書籍・文房具小売業","399.0","4682.0","2150.0","2532.0","3511.0","1645.0","1866.0","634.0","419.0","215.0"
"　　　　607 スポーツ用品・がん具・娯楽用品・楽器小売業","271.0","1108.0","571.0","537.0","684.0","332.0","352.0","295.0","184.0","111.0"
"　　　　608 写真機・時計・眼鏡小売業","228.0","751.0","380.0","371.0","479.0","222.0","257.0","313.0","193.0","120.0"
"　　　　609 他に分類されない小売業","1230.0","4809.0","1928.0","2881.0","2423.0","947.0","1476.0","1029.0","638.0","391.0"
"　　　61 無店舗小売業","302.0","1418.0","738.0","680.0","964.0","481.0","483.0","606.0","412.0","194.0"
"　　　　610 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-"
"　　　　611 通信販売・訪問販売小売業","214.0","1130.0","607.0","523.0","786.0","401.0","385.0","510.0","347.0","163.0"
"　　　　612 自動販売機による小売業","57.0","133.0","75.0","58.0","61.0","44.0","17.0","57.0","43.0","14.0"
"　　　　619 その他の無店舗小売業","31.0","155.0","56.0","99.0","117.0","36.0","81.0","39.0","22.0","17.0"
"　　　I1 卸売業 内格付不能","46.0","265.0","155.0","110.0","183.0","101.0","82.0","136.0","92.0","44.0"
"　　　　I1Z 卸売業 内格付不能","46.0","265.0","155.0","110.0","183.0","101.0","82.0","136.0","92.0","44.0"
"　　　I2 小売業 内格付不能","68.0","266.0","121.0","145.0","169.0","71.0","98.0","98.0","63.0","35.0"
"　　　　I2Z 小売業 内格付不能","68.0","266.0","121.0","145.0","169.0","71.0","98.0","98.0","63.0","35.0"
"　　J 金融業，保険業","771.0","10507.0","4579.0","5928.0","9719.0","4016.0","5703.0","7750.0","3714.0","4036.0"
"　　　62 銀行業","113.0","3314.0","1323.0","1991.0","3294.0","1303.0","1991.0","2257.0","1229.0","1028.0"
"　　　　620 管理，補助的経済活動を行う事業所","1.0","243.0","108.0","135.0","243.0","108.0","135.0","136.0","81.0","55.0"
"　　　　621 中央銀行","-","-","-","-","-","-","-","-","-","-"
"　　　　622 銀行(中央銀行を除く)","112.0","3071.0","1215.0","1856.0","3051.0","1195.0","1856.0","2121.0","1148.0","973.0"
"　　　63 協同組織金融業","99.0","1580.0","956.0","624.0","1501.0","887.0","614.0","1303.0","859.0","444.0"
"　　　　630 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-"
"　　　　631 中小企業等金融業","74.0","1242.0","776.0","466.0","1194.0","728.0","466.0","1030.0","700.0","330.0"
"　　　　632 農林水産金融業","25.0","338.0","180.0","158.0","307.0","159.0","148.0","273.0","159.0","114.0"
"　　　64 貸金業，クレジットカード業等非預金信用機関","44.0","200.0","120.0","80.0","154.0","92.0","62.0","130.0","87.0","43.0"
"　　　　640 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-"
"　　　　641 貸金業","16.0","49.0","24.0","25.0","34.0","15.0","19.0","29.0","15.0","14.0"
"　　　　642 質屋","17.0","51.0","22.0","29.0","29.0","8.0","21.0","21.0","7.0","14.0"
"　　　　643 クレジットカード業，割賦金融業","5.0","40.0","30.0","10.0","35.0","25.0","10.0","26.0","21.0","5.0"
"　　　　649 その他の非預金信用機関","6.0","60.0","44.0","16.0","56.0","44.0","12.0","54.0","44.0","10.0"
