"産業中分類","総数(経営組織)事業所数","総数(経営組織)従業者数 (注)","総数(経営組織)従業者数 (注)_男","総数(経営組織)従業者数 (注)_女","総数(経営組織)従業者数 (注)_個人業主 (注)","総数(経営組織)従業者数 (注)_個人業主 (注)_男","総数(経営組織)従業者数 (注)_個人業主 (注)_女","総数(経営組織)従業者数 (注)_無給の家族従業者 (注)","総数(経営組織)従業者数 (注)_無給の家族従業者 (注)_男","総数(経営組織)従業者数 (注)_無給の家族従業者 (注)_女","総数(経営組織)従業者数 (注)_有給役員(注)","総数(経営組織)従業者数 (注)_有給役員(注)_男","総数(経営組織)従業者数 (注)_有給役員(注)_女","総数(経営組織)従業者数 (注)_常用雇用者(注)","総数(経営組織)従業者数 (注)_常用雇用者(注)_男","総数(経営組織)従業者数 (注)_常用雇用者(注)_女","総数(経営組織)従業者数 (注)_常用雇用者(注)_正社員・正職員(注)","総数(経営組織)従業者数 (注)_常用雇用者(注)_正社員・正職員(注)_男","総数(経営組織)従業者数 (注)_常用雇用者(注)_正社員・正職員(注)_女","総数(経営組織)従業者数 (注)_常用雇用者(注)_正社員・正職員以外 (注)","総数(経営組織)従業者数 (注)_常用雇用者(注)_正社員・正職員以外 (注)_男","総数(経営組織)従業者数 (注)_正社員・正職員(注)_正社員・正職員以外 (注)_女","総数(経営組織)従業者数 (注)_臨時雇用者 (注)","総数(経営組織)従業者数 (注)_臨時雇用者 (注)_男","総数(経営組織)従業者数 (注)_臨時雇用者 (注)_女","個人_事業所数","個人_従業者数(注)","個人_従業者数(注)_男","個人_従業者数(注)_女","個人_従業者数(注)_個人業主 (注)","個人_従業者数(注)_個人業主 (注)_男","個人_従業者数(注)_個人業主 (注)_女","個人_従業者数(注)_無給の家族従業者(注)","個人_従業者数(注)_無給の家族従業者(注)_男","個人_従業者数(注)_無給の家族従業者(注)_女","個人_従業者数(注)_常用雇用者(注)","個人_従業者数(注)_常用雇用者(注)_男","個人_従業者数(注)_常用雇用者(注)_女","個人_従業者数(注)_常用雇用者(注)_うち正社員・正職員(注)","個人_従業者数(注)_常用雇用者(注)_うち正社員・正職員(注)_男","個人_従業者数(注)_常用雇用者(注)_うち正社員・正職員(注)_女","個人_従業者数(注)_臨時雇用者(注)","個人_従業者数(注)_臨時雇用者(注)_男","個人_従業者数(注)_臨時雇用者(注)_女","法人_事業所数","法人_従業者数(注)","法人_従業者数(注)_男","法人_従業者数(注)_女","法人_従業者数(注)_有給役員(注)","法人_従業者数(注)_有給役員(注)_男","法人_従業者数(注)_有給役員(注)_女","法人_従業者数(注)_常用雇用者 (注)","法人_従業者数(注)_常用雇用者 (注)_男","法人_従業者数(注)_常用雇用者 (注)_女","法人_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)","法人_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","法人_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","法人_従業者数(注)_臨時雇用者(注)","法人_従業者数(注)_臨時雇用者(注)_男","法人_従業者数(注)_臨時雇用者(注)_女","会社_事業所数","会社_従業者数(注)","会社_従業者数(注)_男","会社_従業者数(注)_女","会社_従業者数(注)_有給役員(注)","会社_従業者数(注)_有給役員(注)_男","会社_従業者数(注)_有給役員(注)_女","会社_従業者数(注)_常用雇用者 (注)","会社_従業者数(注)_常用雇用者 (注)_男","会社_従業者数(注)_常用雇用者 (注)_女","会社_常用雇用者 (注)_従業者数(注)_うち正社員・正職員 (注)","会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","会社_従業者数(注)_臨時雇用者(注)","会社_従業者数(注)_臨時雇用者(注)_男","会社_従業者数(注)_臨時雇用者(注)_女","株式・有限・相互会社_事業所数","株式・有限・相互会社_従業者数(注)","株式・有限・相互会社_従業者数(注)_男","株式・有限・相互会社_従業者数(注)_女","株式・有限・相互会社_従業者数(注)_有給役員(注)","株式・有限・相互会社_従業者数(注)_有給役員(注)_男","株式・有限・相互会社_従業者数(注)_有給役員(注)_女","株式・有限・相互会社_従業者数(注)_常用雇用者 (注)","株式・有限・相互会社_従業者数(注)_常用雇用者 (注)_男","株式・有限・相互会社_従業者数(注)_常用雇用者 (注)_女","株式・有限・相互会社_常用雇用者 (注)_従業者数(注)うち正社員・正職員 (注)","株式・有限・相互会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","株式・有限・相互会社_従業者数(注)常用雇用者 (注)うち正社員・正職員 (注)_女","株式・有限・相互会社_従業者数(注)_臨時雇用者(注)","株式・有限・相互会社_従業者数(注)_臨時雇用者(注)_男","株式・有限・相互会社_従業者数(注)_臨時雇用者(注)_女","合名・合資会社_事業所数","合名・合資会社_従業者数(注)","合名・合資会社_従業者数(注)_男","合名・合資会社_従業者数(注)_女","株合名・合資会社_従業者数(注)_有給役員(注)","合名・合資会社_従業者数(注)_有給役員(注)_男","合名・合資会社_従業者数(注)_有給役員(注)_女","合名・合資会社_従業者数(注)_常用雇用者 (注)","合名・合資会社_従業者数(注)_常用雇用者 (注)_男","合名・合資会社_従業者数(注)_常用雇用者 (注)_女","合名・合資会社_常用雇用者 (注)_従業者数(注)_うち正社員・正職員 (注)","合名・合資会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","合名・合資会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","合名・合資会社_従業者数(注)_臨時雇用者(注)","合名・合資会社_従業者数(注)_臨時雇用者(注)_男","合名・合資会社_従業者数(注)_臨時雇用者(注)_女","合同会社_事業所数","合同会社_従業者数(注)","合同会社_従業者数(注)_男","合同会社_従業者数(注)_女","合同会社_従業者数(注)_有給役員(注)","合同会社_従業者数(注)_有給役員(注)_男","合同会社_従業者数(注)_有給役員(注)_女","合同会社_従業者数(注)_常用雇用者 (注)","合同会社_従業者数(注)_常用雇用者 (注)_男","合同会社_従業者数(注)_常用雇用者 (注)_女","合同会社_常用雇用者 (注)_従業者数(注)_うち正社員・正職員 (注)","合同会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","合同会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","合同会社_従業者数(注)_臨時雇用者(注)","合同会社_従業者数(注)_臨時雇用者(注)_男","合同会社_従業者数(注)_臨時雇用者(注)_女","外国の会社_事業所数","外国の会社_従業者数(注)","外国の会社_従業者数(注)_男","外国の会社_従業者数(注)_女","外国の会社_従業者数(注)_有給役員(注)","外国の会社_従業者数(注)_有給役員(注)_男","外国の会社_従業者数(注)_有給役員(注)_女","外国の会社_従業者数(注)_常用雇用者 (注)","外国の会社_従業者数(注)_常用雇用者 (注)_男","外国の会社_従業者数(注)_常用雇用者 (注)_女","外国の会社_常用雇用者 (注)_従業者数(注)_うち正社員・正職員 (注)","外国の会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","外国の会社_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","外国の会社_従業者数(注)_臨時雇用者(注)","外国の会社_従業者数(注)_臨時雇用者(注)_男","外国の会社_従業者数(注)_臨時雇用者(注)_女","会社以外の法人_事業所数","会社以外の法人_従業者数(注)","会社以外の法人_従業者数(注)_男","会社以外の法人_従業者数(注)_女","会社以外の法人_従業者数(注)_有給役員(注)","会社以外の法人_従業者数(注)_有給役員(注)_男","会社以外の法人_従業者数(注)_有給役員(注)_女","会社以外の法人_従業者数(注)_常用雇用者 (注)","会社以外の法人_従業者数(注)_常用雇用者 (注)_男","会社以外の法人_従業者数(注)_常用雇用者 (注)_女","会社以外の法人_常用雇用者 (注)_従業者数(注)_うち正社員・正職員 (注)","会社以外の法人_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","会社以外の法人_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","会社以外の法人_従業者数(注)_臨時雇用者(注)","会社以外の法人_従業者数(注)_臨時雇用者(注)_男","会社以外の法人_従業者数(注)_臨時雇用者(注)_女","法人でない団体_事業所数","法人でない団体_従業者数(注)","法人でない団体_従業者数(注)_男","法人でない団体_従業者数(注)_女","法人でない団体_従業者数(注)_有給役員(注)","法人でない団体_従業者数(注)_有給役員(注)_男","法人でない団体_従業者数(注)_有給役員(注)_女","法人でない団体_従業者数(注)_常用雇用者 (注)","法人でない団体_従業者数(注)_常用雇用者 (注)_男","法人でない団体_従業者数(注)_常用雇用者 (注)_女","法人でない団体_常用雇用者 (注)_従業者数(注)_うち正社員・正職員 (注)","法人でない団体_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_男","法人でない団体_従業者数(注)_常用雇用者 (注)_うち正社員・正職員 (注)_女","法人でない団体_従業者数(注)_臨時雇用者(注)","法人でない団体_従業者数(注)_臨時雇用者(注)_男","法人でない団体_従業者数(注)_臨時雇用者(注)_女"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　46 航空運輸業","1.0","3.0","2.0","1.0","-","-","-","-","-","-","-","-","-","3.0","2.0","1.0","3.0","2.0","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.0","3.0","2.0","1.0","-","-","-","3.0","2.0","1.0","3.0","2.0","1.0","-","-","-","1.0","3.0","2.0","1.0","-","-","-","3.0","2.0","1.0","3.0","2.0","1.0","-","-","-","1.0","3.0","2.0","1.0","-","-","-","3.0","2.0","1.0","3.0","2.0","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　47 倉庫業","45.0","1121.0","426.0","695.0","-","-","-","-","-","-","47.0","31.0","16.0","1022.0","384.0","638.0","253.0","223.0","30.0","769.0","161.0","608.0","52.0","11.0","41.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","45.0","1121.0","426.0","695.0","47.0","31.0","16.0","1022.0","384.0","638.0","253.0","223.0","30.0","52.0","11.0","41.0","43.0","1115.0","423.0","692.0","44.0","30.0","14.0","1019.0","382.0","637.0","251.0","222.0","29.0","52.0","11.0","41.0","43.0","1115.0","423.0","692.0","44.0","30.0","14.0","1019.0","382.0","637.0","251.0","222.0","29.0","52.0","11.0","41.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.0","6.0","3.0","3.0","3.0","1.0","2.0","3.0","2.0","1.0","2.0","1.0","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　48 運輸に附帯するサービス業","99.0","1773.0","1459.0","314.0","9.0","6.0","3.0","3.0","-","3.0","98.0","74.0","24.0","1591.0","1330.0","261.0","1268.0","1132.0","136.0","323.0","198.0","125.0","72.0","49.0","23.0","10.0","38.0","22.0","16.0","9.0","6.0","3.0","3.0","-","3.0","17.0","10.0","7.0","14.0","10.0","4.0","9.0","6.0","3.0","81.0","1654.0","1388.0","266.0","97.0","73.0","24.0","1525.0","1296.0","229.0","1230.0","1109.0","121.0","32.0","19.0","13.0","71.0","1601.0","1353.0","248.0","94.0","70.0","24.0","1475.0","1264.0","211.0","1187.0","1078.0","109.0","32.0","19.0","13.0","71.0","1601.0","1353.0","248.0","94.0","70.0","24.0","1475.0","1264.0","211.0","1187.0","1078.0","109.0","32.0","19.0","13.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","10.0","53.0","35.0","18.0","3.0","3.0","-","50.0","32.0","18.0","43.0","31.0","12.0","-","-","-","8.0","81.0","49.0","32.0","1.0","1.0","-","49.0","24.0","25.0","24.0","13.0","11.0","31.0","24.0","7.0"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　49 郵便業(信書便事業を含む)","51.0","2063.0","1607.0","456.0","-","-","-","-","-","-","-","-","-","2060.0","1605.0","455.0","911.0","872.0","39.0","1149.0","733.0","416.0","3.0","2.0","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","51.0","2063.0","1607.0","456.0","-","-","-","2060.0","1605.0","455.0","911.0","872.0","39.0","3.0","2.0","1.0","51.0","2063.0","1607.0","456.0","-","-","-","2060.0","1605.0","455.0","911.0","872.0","39.0","3.0","2.0","1.0","51.0","2063.0","1607.0","456.0","-","-","-","2060.0","1605.0","455.0","911.0","872.0","39.0","3.0","2.0","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　HZ 運輸業，郵便業 内格付不能_","13.0","162.0","87.0","75.0","2.0","2.0","-","-","-","-","16.0","11.0","5.0","110.0","70.0","40.0","51.0","49.0","2.0","59.0","21.0","38.0","34.0","4.0","30.0","2.0","5.0","4.0","1.0","2.0","2.0","-","-","-","-","3.0","2.0","1.0","3.0","2.0","1.0","-","-","-","9.0","144.0","80.0","64.0","16.0","11.0","5.0","96.0","66.0","30.0","47.0","46.0","1.0","32.0","3.0","29.0","9.0","144.0","80.0","64.0","16.0","11.0","5.0","96.0","66.0","30.0","47.0","46.0","1.0","32.0","3.0","29.0","9.0","144.0","80.0","64.0","16.0","11.0","5.0","96.0","66.0","30.0","47.0","46.0","1.0","32.0","3.0","29.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.0","13.0","3.0","10.0","-","-","-","11.0","2.0","9.0","1.0","1.0","-","2.0","1.0","1.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_","13910.0","84766.0","40247.0","44411.0","8027.0","5920.0","2107.0","4114.0","765.0","3349.0","6431.0","4299.0","2132.0","60438.0","27264.0","33066.0","28426.0","19145.0","9277.0","32012.0","8119.0","23789.0","5756.0","1999.0","3757.0","8218.0","24624.0","11489.0","13135.0","8027.0","5920.0","2107.0","4114.0","765.0","3349.0","10790.0","4166.0","6624.0","4477.0","2157.0","2320.0","1693.0","638.0","1055.0","5661.0","59920.0","28694.0","31118.0","6402.0","4275.0","2127.0","49477.0","23058.0","26311.0","23883.0","16961.0","6918.0","4041.0","1361.0","2680.0","5417.0","56619.0","27255.0","29256.0","6201.0","4106.0","2095.0","46927.0","21930.0","24889.0","22807.0","16113.0","6690.0","3491.0","1219.0","2272.0","5372.0","56271.0","27096.0","29067.0","6139.0","4071.0","2068.0","46669.0","21817.0","24744.0","22692.0","16062.0","6626.0","3463.0","1208.0","2255.0","39.0","273.0","130.0","143.0","55.0","31.0","24.0","213.0","97.0","116.0","76.0","37.0","39.0","5.0","2.0","3.0","6.0","75.0","29.0","46.0","7.0","4.0","3.0","45.0","16.0","29.0","39.0","14.0","25.0","23.0","9.0","14.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","244.0","3301.0","1439.0","1862.0","201.0","169.0","32.0","2550.0","1128.0","1422.0","1076.0","848.0","228.0","550.0","142.0","408.0","31.0","222.0","64.0","158.0","29.0","24.0","5.0","171.0","40.0","131.0","66.0","27.0","39.0","22.0","-","22.0"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　50 各種商品卸売業","9.0","62.0","44.0","18.0","1.0","1.0","-","-","-","-","11.0","7.0","4.0","50.0","36.0","14.0","48.0","35.0","13.0","2.0","1.0","1.0","-","-","-","1.0","3.0","2.0","1.0","1.0","1.0","-","-","-","-","2.0","1.0","1.0","2.0","1.0","1.0","-","-","-","8.0","59.0","42.0","17.0","11.0","7.0","4.0","48.0","35.0","13.0","46.0","34.0","12.0","-","-","-","8.0","59.0","42.0","17.0","11.0","7.0","4.0","48.0","35.0","13.0","46.0","34.0","12.0","-","-","-","8.0","59.0","42.0","17.0","11.0","7.0","4.0","48.0","35.0","13.0","46.0","34.0","12.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　51 繊維・衣服等卸売業","106.0","755.0","350.0","405.0","37.0","31.0","6.0","17.0","-","17.0","131.0","84.0","47.0","559.0","233.0","326.0","309.0","192.0","117.0","250.0","41.0","209.0","11.0","2.0","9.0","37.0","81.0","40.0","41.0","37.0","31.0","6.0","17.0","-","17.0","20.0","8.0","12.0","13.0","8.0","5.0","7.0","1.0","6.0","69.0","674.0","310.0","364.0","131.0","84.0","47.0","539.0","225.0","314.0","296.0","184.0","112.0","4.0","1.0","3.0","67.0","666.0","307.0","359.0","129.0","82.0","47.0","533.0","224.0","309.0","292.0","183.0","109.0","4.0","1.0","3.0","67.0","666.0","307.0","359.0","129.0","82.0","47.0","533.0","224.0","309.0","292.0","183.0","109.0","4.0","1.0","3.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.0","8.0","3.0","5.0","2.0","2.0","-","6.0","1.0","5.0","4.0","1.0","3.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　52 飲食料品卸売業","857.0","7108.0","3958.0","3150.0","335.0","304.0","31.0","162.0","24.0","138.0","801.0","561.0","240.0","4979.0","2746.0","2233.0","2736.0","1960.0","776.0","2243.0","786.0","1457.0","831.0","323.0","508.0","345.0","1504.0","759.0","745.0","335.0","304.0","31.0","162.0","24.0","138.0","810.0","344.0","466.0","393.0","197.0","196.0","197.0","87.0","110.0","508.0","5557.0","3185.0","2372.0","799.0","559.0","240.0","4124.0","2390.0","1734.0","2334.0","1756.0","578.0","634.0","236.0","398.0","477.0","4957.0","2946.0","2011.0","778.0","539.0","239.0","3936.0","2267.0","1669.0","2199.0","1650.0","549.0","243.0","140.0","103.0","475.0","4948.0","2944.0","2004.0","775.0","538.0","237.0","3932.0","2266.0","1666.0","2195.0","1649.0","546.0","241.0","140.0","101.0","2.0","9.0","2.0","7.0","3.0","1.0","2.0","4.0","1.0","3.0","4.0","1.0","3.0","2.0","-","2.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","31.0","600.0","239.0","361.0","21.0","20.0","1.0","188.0","123.0","65.0","135.0","106.0","29.0","391.0","96.0","295.0","4.0","47.0","14.0","33.0","2.0","2.0","-","45.0","12.0","33.0","9.0","7.0","2.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　53 建築材料，鉱物・金属材料等卸売業","670.0","4355.0","3144.0","1211.0","165.0","159.0","6.0","90.0","18.0","72.0","814.0","578.0","236.0","3153.0","2292.0","861.0","2670.0","2076.0","594.0","483.0","216.0","267.0","133.0","97.0","36.0","167.0","593.0","381.0","212.0","165.0","159.0","6.0","90.0","18.0","72.0","297.0","172.0","125.0","232.0","148.0","84.0","41.0","32.0","9.0","502.0","3747.0","2752.0","995.0","810.0","575.0","235.0","2845.0","2112.0","733.0","2429.0","1921.0","508.0","92.0","65.0","27.0","481.0","3662.0","2690.0","972.0","793.0","558.0","235.0","2779.0","2069.0","710.0","2383.0","1885.0","498.0","90.0","63.0","27.0","475.0","3627.0","2667.0","960.0","782.0","549.0","233.0","2756.0","2055.0","701.0","2361.0","1871.0","490.0","89.0","63.0","26.0","4.0","13.0","8.0","5.0","8.0","7.0","1.0","5.0","1.0","4.0","4.0","1.0","3.0","-","-","-","2.0","22.0","15.0","7.0","3.0","2.0","1.0","18.0","13.0","5.0","18.0","13.0","5.0","1.0","-","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","21.0","85.0","62.0","23.0","17.0","17.0","-","66.0","43.0","23.0","46.0","36.0","10.0","2.0","2.0","-","1.0","15.0","11.0","4.0","4.0","3.0","1.0","11.0","8.0","3.0","9.0","7.0","2.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　54 機械器具卸売業","460.0","3127.0","2367.0","760.0","104.0","100.0","4.0","46.0","8.0","38.0","320.0","230.0","90.0","2588.0","1979.0","609.0","2302.0","1836.0","466.0","286.0","143.0","143.0","69.0","50.0","19.0","105.0","348.0","236.0","112.0","104.0","100.0","4.0","46.0","8.0","38.0","164.0","102.0","62.0","139.0","88.0","51.0","34.0","26.0","8.0","355.0","2779.0","2131.0","648.0","320.0","230.0","90.0","2424.0","1877.0","547.0","2163.0","1748.0","415.0","35.0","24.0","11.0","353.0","2766.0","2122.0","644.0","320.0","230.0","90.0","2411.0","1868.0","543.0","2153.0","1740.0","413.0","35.0","24.0","11.0","351.0","2763.0","2119.0","644.0","319.0","229.0","90.0","2409.0","1866.0","543.0","2153.0","1740.0","413.0","35.0","24.0","11.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.0","3.0","3.0","-","1.0","1.0","-","2.0","2.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.0","13.0","9.0","4.0","-","-","-","13.0","9.0","4.0","10.0","8.0","2.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　55 その他の卸売業","704.0","5294.0","3169.0","2125.0","226.0","179.0","47.0","117.0","27.0","90.0","642.0","446.0","196.0","4061.0","2432.0","1629.0","3109.0","2220.0","889.0","952.0","212.0","740.0","248.0","85.0","163.0","234.0","732.0","359.0","373.0","226.0","179.0","47.0","117.0","27.0","90.0","296.0","122.0","174.0","204.0","101.0","103.0","93.0","31.0","62.0","469.0","4560.0","2810.0","1750.0","642.0","446.0","196.0","3763.0","2310.0","1453.0","2905.0","2119.0","786.0","155.0","54.0","101.0","449.0","4387.0","2677.0","1710.0","616.0","420.0","196.0","3635.0","2220.0","1415.0","2808.0","2036.0","772.0","136.0","37.0","99.0","445.0","4353.0","2670.0","1683.0","612.0","417.0","195.0","3605.0","2216.0","1389.0","2784.0","2033.0","751.0","136.0","37.0","99.0","3.0","10.0","6.0","4.0","4.0","3.0","1.0","6.0","3.0","3.0","4.0","2.0","2.0","-","-","-","1.0","24.0","1.0","23.0","-","-","-","24.0","1.0","23.0","20.0","1.0","19.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","20.0","173.0","133.0","40.0","26.0","26.0","-","128.0","90.0","38.0","97.0","83.0","14.0","19.0","17.0","2.0","1.0","2.0","-","2.0","-","-","-","2.0","-","2.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　56 各種商品小売業","28.0","2843.0","624.0","2219.0","6.0","5.0","1.0","10.0","3.0","7.0","7.0","5.0","2.0","2589.0","536.0","2053.0","503.0","301.0","202.0","2086.0","235.0","1851.0","231.0","75.0","156.0","6.0","28.0","11.0","17.0","6.0","5.0","1.0","10.0","3.0","7.0","11.0","2.0","9.0","7.0","1.0","6.0","1.0","1.0","-","22.0","2815.0","613.0","2202.0","7.0","5.0","2.0","2578.0","534.0","2044.0","496.0","300.0","196.0","230.0","74.0","156.0","21.0","2814.0","613.0","2201.0","7.0","5.0","2.0","2577.0","534.0","2043.0","496.0","300.0","196.0","230.0","74.0","156.0","20.0","2812.0","612.0","2200.0","5.0","4.0","1.0","2577.0","534.0","2043.0","496.0","300.0","196.0","230.0","74.0","156.0","1.0","2.0","1.0","1.0","2.0","1.0","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.0","1.0","-","1.0","-","-","-","1.0","-","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　57 織物・衣服・身の回り品小売業","1372.0","4551.0","1218.0","3333.0","829.0","453.0","376.0","341.0","68.0","273.0","342.0","193.0","149.0","2842.0","491.0","2351.0","1143.0","347.0","796.0","1699.0","144.0","1555.0","197.0","13.0","184.0","847.0","1691.0","596.0","1095.0","829.0","453.0","376.0","341.0","68.0","273.0","446.0","65.0","381.0","214.0","49.0","165.0","75.0","10.0","65.0","525.0","2860.0","622.0","2238.0","342.0","193.0","149.0","2396.0","426.0","1970.0","929.0","298.0","631.0","122.0","3.0","119.0","523.0","2858.0","622.0","2236.0","342.0","193.0","149.0","2395.0","426.0","1969.0","929.0","298.0","631.0","121.0","3.0","118.0","513.0","2832.0","618.0","2214.0","334.0","190.0","144.0","2378.0","425.0","1953.0","917.0","298.0","619.0","120.0","3.0","117.0","10.0","26.0","4.0","22.0","8.0","3.0","5.0","17.0","1.0","16.0","12.0","-","12.0","1.0","-","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.0","2.0","-","2.0","-","-","-","1.0","-","1.0","-","-","-","1.0","-","1.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　I 卸売業，小売業_　　　58 飲食料品小売業","3504.0","25346.0","8998.0","16348.0","2580.0","1835.0","745.0","1582.0","294.0","1288.0","807.0","538.0","269.0","18585.0","5716.0","12869.0","4343.0","2514.0","1829.0","14242.0","3202.0","11040.0","1792.0","615.0","1177.0","2638.0","8843.0","3699.0","5144.0","2580.0","1835.0","745.0","1582.0","294.0","1288.0","4217.0","1446.0","2771.0","1055.0","431.0","624.0","464.0","124.0","340.0","846.0","16362.0","5270.0","11092.0","786.0","521.0","265.0","14270.0","4258.0","10012.0","3250.0","2078.0","1172.0","1306.0","491.0","815.0","765.0","14653.0","4698.0","9955.0","698.0","459.0","239.0","12765.0","3766.0","8999.0","2831.0","1745.0","1086.0","1190.0","473.0","717.0","754.0","14475.0","4611.0","9864.0","675.0","448.0","227.0","12634.0","3701.0","8933.0","2818.0","1738.0","1080.0","1166.0","462.0","704.0","10.0","152.0","77.0","75.0","20.0","10.0","10.0","130.0","65.0","65.0","12.0","7.0","5.0","2.0","2.0","-","1.0","26.0","10.0","16.0","3.0","1.0","2.0","1.0","-","1.0","1.0","-","1.0","22.0","9.0","13.0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","81.0","1709.0","572.0","1137.0","88.0","62.0","26.0","1505.0","492.0","1013.0","419.0","333.0","86.0","116.0","18.0","98.0","20.0","141.0","29.0","112.0","21.0","17.0","4.0","98.0","12.0","86.0","38.0","5.0","33.0","22.0","-","22.0"
