"産業中分類","総数(単独・本所・支所)_事業所数","総数(単独・本所・支所)_従業者数(人)","総数(単独・本所・支所)_売上(収入)金額(百万円)","単独事業所_事業所数","単独事業所_従業者数(人)","単独事業所_売上(収入)金額(百万円)","本所・本社・本店_事業所数","本所・本社・本店_従業者数(人)","本所・本社・本店_売上(収入)金額(百万円)","支所・支社・支店_事業所数","支所・支社・支店_従業者数(人)","支所・支社・支店_売上(収入)金額(百万円)"
"F 電気・ガス・熱供給・水道業_　　　35 熱供給業","1.0","3.0","...","-","-","-","-","-","...","1.0","3.0","..."
"F 電気・ガス・熱供給・水道業_　　　36 水道業","7.0","36.0","...","1.0","1.0","X","2.0","6.0","...","4.0","29.0","..."
"　FZ 電気・ガス・熱供給・水道業 内格付不能_","-","-","...","-","-","-","-","-","...","-","-","..."
"G 情報通信業_","228.0","2907.0","...","112.0","1072.0","6563.0","18.0","755.0","...","98.0","1080.0","..."
"G 情報通信業_　　　37 通信業","30.0","406.0","...","7.0","50.0","563.0","-","-","...","23.0","356.0","..."
"G 情報通信業_　　　38 放送業","16.0","324.0","...","3.0","13.0","68.0","3.0","137.0","...","10.0","174.0","..."
"G 情報通信業_　　　39 情報サービス業","106.0","1492.0","13885.0","71.0","805.0","4163.0","7.0","268.0","X","28.0","419.0","X"
"G 情報通信業_　　　40 インターネット附随サービス業","7.0","56.0","748.0","5.0","9.0","X","1.0","42.0","X","1.0","5.0","X"
"G 情報通信業_　　　41 映像・音声・文字情報制作業","66.0","601.0","...","25.0","193.0","1680.0","7.0","308.0","...","34.0","100.0","..."
"　G1 通信業，放送業，映像・音声・文字情報制作業 内格付不能_","3.0","28.0","...","1.0","2.0","X","-","-","...","2.0","26.0","..."
"　G2 情報サービス業，インターネット附随サービス業 内格付不能_","-","-","-","-","-","-","-","-","-","-","-","-"
"H 運輸業，郵便業_","837.0","17547.0","...","472.0","6275.0","69301.0","81.0","2562.0","...","284.0","8710.0","..."
"H 運輸業，郵便業_　　　42 鉄道業","35.0","1539.0","...","1.0","53.0","X","-","-","...","34.0","1486.0","..."
"H 運輸業，郵便業_　　　43 道路旅客運送業","108.0","2478.0","...","58.0","1288.0","4507.0","21.0","583.0","...","29.0","607.0","..."
"H 運輸業，郵便業_　　　44 道路貨物運送業","486.0","9040.0","...","321.0","4185.0","55036.0","46.0","1672.0","...","119.0","3183.0","..."
"H 運輸業，郵便業_　　　45 水運業","35.0","253.0","...","32.0","199.0","2291.0","2.0","34.0","...","1.0","20.0","..."
"H 運輸業，郵便業_　　　46 航空運輸業","1.0","3.0","...","-","-","-","-","-","...","1.0","3.0","..."
"H 運輸業，郵便業_　　　47 倉庫業","38.0","890.0","...","12.0","104.0","1497.0","4.0","69.0","...","22.0","717.0","..."
"H 運輸業，郵便業_　　　48 運輸に附帯するサービス業","73.0","1149.0","...","38.0","313.0","4128.0","7.0","188.0","...","28.0","648.0","..."
"H 運輸業，郵便業_　　　49 郵便業(信書便事業を含む)","50.0","2046.0","...","-","-","-","-","-","...","50.0","2046.0","..."
"　HZ 運輸業，郵便業 内格付不能_","11.0","149.0","...","10.0","133.0","X","1.0","16.0","...","-","-","..."
"I 卸売業，小売業_","11768.0","70284.0","1838436.0","9214.0","35768.0","570181.0","544.0","7794.0","288500.0","2010.0","26722.0","979755.0"
"I 卸売業，小売業_　　　50 各種商品卸売業","9.0","62.0","2099.0","4.0","25.0","478.0","2.0","21.0","X","3.0","16.0","X"
"I 卸売業，小売業_　　　51 繊維・衣服等卸売業","94.0","699.0","30366.0","77.0","376.0","8937.0","7.0","225.0","13204.0","10.0","98.0","8225.0"
"I 卸売業，小売業_　　　52 飲食料品卸売業","720.0","6146.0","286310.0","571.0","3967.0","131284.0","49.0","794.0","26195.0","100.0","1385.0","128831.0"
"I 卸売業，小売業_　　　53 建築材料，鉱物・金属材料等卸売業","571.0","3719.0","221046.0","397.0","2124.0","93882.0","50.0","894.0","59518.0","124.0","701.0","67646.0"
"I 卸売業，小売業_　　　54 機械器具卸売業","375.0","2435.0","119895.0","189.0","931.0","19327.0","31.0","594.0","27666.0","155.0","910.0","72902.0"
"I 卸売業，小売業_　　　55 その他の卸売業","576.0","4576.0","314096.0","413.0","1902.0","45712.0","39.0","1383.0","87686.0","124.0","1291.0","180699.0"
"I 卸売業，小売業_　　　56 各種商品小売業","27.0","2784.0","81267.0","9.0","33.0","256.0","-","-","-","18.0","2751.0","81011.0"
"I 卸売業，小売業_　　　57 織物・衣服・身の回り品小売業","1127.0","3760.0","41375.0","820.0","1842.0","11458.0","49.0","226.0","1848.0","258.0","1692.0","28068.0"
"I 卸売業，小売業_　　　58 飲食料品小売業","3007.0","21168.0","278959.0","2578.0","10111.0","87373.0","72.0","1085.0","15978.0","357.0","9972.0","175609.0"
"I 卸売業，小売業_　　　59 機械器具小売業","1272.0","6462.0","178601.0","1021.0","3388.0","49073.0","55.0","726.0","25651.0","196.0","2348.0","103878.0"
"I 卸売業，小売業_　　　60 その他の小売業","3589.0","16778.0","243499.0","2828.0","10007.0","101412.0","166.0","1523.0","23002.0","595.0","5248.0","119085.0"
"I 卸売業，小売業_　　　61 無店舗小売業","288.0","1166.0","23487.0","219.0","711.0","10751.0","13.0","229.0","5147.0","56.0","226.0","7588.0"
"　I1 卸売業 内格付不能_","46.0","265.0","13123.0","35.0","171.0","7415.0","3.0","37.0","X","8.0","57.0","X"
"　I2 小売業 内格付不能_","67.0","264.0","4312.0","53.0","180.0","2824.0","8.0","57.0","1082.0","6.0","27.0","407.0"
"J 金融業，保険業_","681.0","9669.0","...","262.0","1140.0","22456.0","16.0","1481.0","...","403.0","7048.0","..."
"J 金融業，保険業_　　　62 銀行業","111.0","3067.0","...","-","-","-","1.0","785.0","...","110.0","2282.0","..."
"J 金融業，保険業_　　　63 協同組織金融業","81.0","1450.0","...","6.0","144.0","9557.0","3.0","321.0","...","72.0","985.0","..."
"J 金融業，保険業_　　　64 貸金業，クレジットカード業等非預金信用機関","34.0","157.0","...","28.0","88.0","4136.0","-","-","...","6.0","69.0","..."
"J 金融業，保険業_　　　65 金融商品取引業，商品先物取引業","23.0","402.0","...","3.0","3.0","X","-","-","...","20.0","399.0","..."
"J 金融業，保険業_　　　66 補助的金融業等","8.0","132.0","...","2.0","32.0","X","1.0","68.0","...","5.0","32.0","..."
"J 金融業，保険業_　　　67 保険業(保険媒介代理業，保険サービス業を含む)","407.0","3991.0","...","223.0","873.0","6880.0","9.0","125.0","...","175.0","2993.0","..."
"　JZ 金融業，保険業 内格付不能_","17.0","470.0","...","-","-","-","2.0","182.0","...","15.0","288.0","..."
"K 不動産業，物品賃貸業_","2558.0","6529.0","83579.0","2379.0","5193.0","43929.0","40.0","384.0","8557.0","139.0","952.0","31094.0"
"K 不動産業，物品賃貸業_　　　68 不動産取引業","273.0","1040.0","20480.0","240.0","720.0","13097.0","9.0","158.0","X","24.0","162.0","X"
"K 不動産業，物品賃貸業_　　　69 不動産賃貸業・管理業","2088.0","4402.0","40040.0","2032.0","4012.0","25227.0","18.0","120.0","1025.0","38.0","270.0","13788.0"
"　K1 不動産業 内格付不能_","23.0","91.0","1213.0","19.0","42.0","215.0","2.0","4.0","X","2.0","45.0","X"
"　K1 不動産業 内格付不能_　　　70 物品賃貸業","174.0","996.0","21846.0","88.0","419.0","5390.0","11.0","102.0","2384.0","75.0","475.0","14073.0"
"L 学術研究，専門・技術サービス業_","1283.0","6335.0","62162.0","1092.0","4244.0","32975.0","34.0","616.0","6703.0","157.0","1475.0","22484.0"
