"産業大分類・県，市町村","事業所数","従業者数（注）","従業者数（注）_男","従業者数（注）_女"
"有田川町_　　N 生活関連サービス業，娯楽業","116.0","566.0","279.0","287.0"
"有田川町_　　O 教育，学習支援業","48.0","118.0","50.0","68.0"
"有田川町_　　P 医療，福祉","78.0","1220.0","387.0","833.0"
"有田川町_　　Q 複合サービス事業","12.0","203.0","134.0","69.0"
"有田川町_　　R サービス業(他に分類されないもの)","132.0","563.0","349.0","214.0"
"美浜町_A～R 全産業(S公務を除く)","355.0","1748.0","817.0","931.0"
"美浜町_　A～B 農林漁業","-","-","-","-"
"美浜町_　　A 農業，林業","-","-","-","-"
"美浜町_　　B 漁業","-","-","-","-"
"美浜町_　　@ 農業，林業，漁業 間格付不能","-","-","-","-"
"美浜町_　C～R 非農林漁業(S公務を除く)","355.0","1748.0","817.0","931.0"
"美浜町_　　C 鉱業，採石業，砂利採取業","1.0","1.0","1.0","-"
"美浜町_　　D 建設業","47.0","170.0","136.0","34.0"
"美浜町_　　E 製造業","30.0","261.0","140.0","121.0"
"美浜町_　　F 電気・ガス・熱供給・水道業","-","-","-","-"
"美浜町_　　G 情報通信業","-","-","-","-"
"美浜町_　　H 運輸業，郵便業","7.0","49.0","39.0","10.0"
"美浜町_　　I 卸売業，小売業","79.0","240.0","107.0","133.0"
"美浜町_　　J 金融業，保険業","7.0","43.0","26.0","17.0"
"美浜町_　　K 不動産業，物品賃貸業","23.0","37.0","17.0","20.0"
"美浜町_　　L 学術研究，専門・技術サービス業","8.0","19.0","16.0","3.0"
"美浜町_　　M 宿泊業，飲食サービス業","40.0","129.0","36.0","93.0"
"美浜町_　　N 生活関連サービス業，娯楽業","49.0","130.0","64.0","66.0"
"美浜町_　　O 教育，学習支援業","16.0","53.0","31.0","22.0"
"美浜町_　　P 医療，福祉","22.0","497.0","138.0","359.0"
"美浜町_　　Q 複合サービス事業","5.0","30.0","17.0","13.0"
"美浜町_　　R サービス業(他に分類されないもの)","21.0","89.0","49.0","40.0"
"日高町_A～R 全産業(S公務を除く)","320.0","1624.0","813.0","811.0"
"日高町_　A～B 農林漁業","3.0","77.0","49.0","28.0"
"日高町_　　A 農業，林業","2.0","9.0","2.0","7.0"
"日高町_　　B 漁業","1.0","68.0","47.0","21.0"
"日高町_　　@ 農業，林業，漁業 間格付不能","-","-","-","-"
"日高町_　C～R 非農林漁業(S公務を除く)","317.0","1547.0","764.0","783.0"
"日高町_　　C 鉱業，採石業，砂利採取業","-","-","-","-"
"日高町_　　D 建設業","52.0","182.0","152.0","30.0"
"日高町_　　E 製造業","30.0","218.0","144.0","74.0"
"日高町_　　F 電気・ガス・熱供給・水道業","-","-","-","-"
"日高町_　　G 情報通信業","-","-","-","-"
"日高町_　　H 運輸業，郵便業","6.0","62.0","53.0","9.0"
"日高町_　　I 卸売業，小売業","74.0","336.0","147.0","189.0"
"日高町_　　J 金融業，保険業","2.0","25.0","15.0","10.0"
"日高町_　　K 不動産業，物品賃貸業","12.0","18.0","13.0","5.0"
"日高町_　　L 学術研究，専門・技術サービス業","7.0","18.0","11.0","7.0"
"日高町_　　M 宿泊業，飲食サービス業","29.0","222.0","43.0","179.0"
"日高町_　　N 生活関連サービス業，娯楽業","22.0","51.0","22.0","29.0"
"日高町_　　O 教育，学習支援業","14.0","23.0","7.0","16.0"
"日高町_　　P 医療，福祉","22.0","240.0","57.0","183.0"
"日高町_　　Q 複合サービス事業","7.0","70.0","42.0","28.0"
"日高町_　　R サービス業(他に分類されないもの)","40.0","82.0","58.0","24.0"
"由良町_A～R 全産業(S公務を除く)","389.0","2257.0","1359.0","898.0"
"由良町_　A～B 農林漁業","3.0","22.0","10.0","12.0"
"由良町_　　A 農業，林業","1.0","17.0","6.0","11.0"
"由良町_　　B 漁業","2.0","5.0","4.0","1.0"
"由良町_　　@ 農業，林業，漁業 間格付不能","-","-","-","-"
"由良町_　C～R 非農林漁業(S公務を除く)","386.0","2235.0","1349.0","886.0"
"由良町_　　C 鉱業，採石業，砂利採取業","-","-","-","-"
"由良町_　　D 建設業","48.0","216.0","181.0","35.0"
"由良町_　　E 製造業","28.0","605.0","500.0","105.0"
"由良町_　　F 電気・ガス・熱供給・水道業","1.0","1.0","1.0","-"
"由良町_　　G 情報通信業","-","-","-","-"
"由良町_　　H 運輸業，郵便業","14.0","110.0","99.0","11.0"
"由良町_　　I 卸売業，小売業","94.0","359.0","185.0","174.0"
"由良町_　　J 金融業，保険業","4.0","18.0","7.0","11.0"
"由良町_　　K 不動産業，物品賃貸業","19.0","36.0","20.0","16.0"
"由良町_　　L 学術研究，専門・技術サービス業","8.0","17.0","15.0","2.0"
"由良町_　　M 宿泊業，飲食サービス業","48.0","200.0","49.0","151.0"
"由良町_　　N 生活関連サービス業，娯楽業","43.0","106.0","55.0","51.0"
"由良町_　　O 教育，学習支援業","9.0","28.0","11.0","17.0"
"由良町_　　P 医療，福祉","20.0","383.0","126.0","257.0"
"由良町_　　Q 複合サービス事業","9.0","66.0","41.0","25.0"
"由良町_　　R サービス業(他に分類されないもの)","41.0","90.0","59.0","31.0"
"印南町_A～R 全産業(S公務を除く)","403.0","2615.0","1606.0","1009.0"
"印南町_　A～B 農林漁業","7.0","77.0","46.0","31.0"
"印南町_　　A 農業，林業","7.0","77.0","46.0","31.0"
"印南町_　　B 漁業","-","-","-","-"
"印南町_　　@ 農業，林業，漁業 間格付不能","-","-","-","-"
"印南町_　C～R 非農林漁業(S公務を除く)","396.0","2538.0","1560.0","978.0"
"印南町_　　C 鉱業，採石業，砂利採取業","-","-","-","-"
"印南町_　　D 建設業","81.0","336.0","286.0","50.0"
"印南町_　　E 製造業","31.0","843.0","590.0","253.0"
"印南町_　　F 電気・ガス・熱供給・水道業","-","-","-","-"
"印南町_　　G 情報通信業","-","-","-","-"
"印南町_　　H 運輸業，郵便業","8.0","93.0","74.0","19.0"
"印南町_　　I 卸売業，小売業","116.0","458.0","235.0","223.0"
"印南町_　　J 金融業，保険業","5.0","23.0","11.0","12.0"
"印南町_　　K 不動産業，物品賃貸業","4.0","7.0","4.0","3.0"
"印南町_　　L 学術研究，専門・技術サービス業","5.0","13.0","11.0","2.0"
"印南町_　　M 宿泊業，飲食サービス業","36.0","132.0","53.0","79.0"
"印南町_　　N 生活関連サービス業，娯楽業","42.0","178.0","96.0","82.0"
"印南町_　　O 教育，学習支援業","5.0","7.0","1.0","6.0"
"印南町_　　P 医療，福祉","21.0","279.0","83.0","196.0"
"印南町_　　Q 複合サービス事業","11.0","70.0","47.0","23.0"
"印南町_　　R サービス業(他に分類されないもの)","31.0","99.0","69.0","30.0"
"みなべ町_A～R 全産業(S公務を除く)","731.0","5221.0","2708.0","2513.0"
"みなべ町_　A～B 農林漁業","3.0","51.0","42.0","9.0"
"みなべ町_　　A 農業，林業","2.0","42.0","33.0","9.0"
"みなべ町_　　B 漁業","1.0","9.0","9.0","-"
"みなべ町_　　@ 農業，林業，漁業 間格付不能","-","-","-","-"
"みなべ町_　C～R 非農林漁業(S公務を除く)","728.0","5170.0","2666.0","2504.0"
"みなべ町_　　C 鉱業，採石業，砂利採取業","-","-","-","-"
"みなべ町_　　D 建設業","124.0","521.0","451.0","70.0"
"みなべ町_　　E 製造業","121.0","1923.0","914.0","1009.0"
"みなべ町_　　F 電気・ガス・熱供給・水道業","-","-","-","-"
"みなべ町_　　G 情報通信業","2.0","5.0","3.0","2.0"
"みなべ町_　　H 運輸業，郵便業","13.0","223.0","195.0","28.0"
"みなべ町_　　I 卸売業，小売業","216.0","1062.0","528.0","534.0"
"みなべ町_　　J 金融業，保険業","7.0","99.0","58.0","41.0"
"みなべ町_　　K 不動産業，物品賃貸業","20.0","41.0","19.0","22.0"
"みなべ町_　　L 学術研究，専門・技術サービス業","14.0","47.0","31.0","16.0"
"みなべ町_　　M 宿泊業，飲食サービス業","53.0","336.0","142.0","194.0"
"みなべ町_　　N 生活関連サービス業，娯楽業","45.0","127.0","64.0","63.0"
"みなべ町_　　O 教育，学習支援業","21.0","60.0","32.0","28.0"
"みなべ町_　　P 医療，福祉","37.0","353.0","99.0","254.0"
"みなべ町_　　Q 複合サービス事業","10.0","86.0","57.0","29.0"
"みなべ町_　　R サービス業(他に分類されないもの)","45.0","287.0","73.0","214.0"
"日高川町_A～R 全産業(S公務を除く)","476.0","3009.0","1899.0","1110.0"
"日高川町_　A～B 農林漁業","11.0","182.0","152.0","30.0"
"日高川町_　　A 農業，林業","10.0","156.0","128.0","28.0"
"日高川町_　　B 漁業","1.0","26.0","24.0","2.0"
"日高川町_　　@ 農業，林業，漁業 間格付不能","-","-","-","-"
"日高川町_　C～R 非農林漁業(S公務を除く)","465.0","2827.0","1747.0","1080.0"
"日高川町_　　C 鉱業，採石業，砂利採取業","-","-","-","-"
"日高川町_　　D 建設業","116.0","584.0","485.0","99.0"
"日高川町_　　E 製造業","36.0","868.0","654.0","214.0"
"日高川町_　　F 電気・ガス・熱供給・水道業","1.0","7.0","7.0","-"
"日高川町_　　G 情報通信業","1.0","7.0","5.0","2.0"
"日高川町_　　H 運輸業，郵便業","13.0","59.0","50.0","9.0"
"日高川町_　　I 卸売業，小売業","98.0","328.0","144.0","184.0"
"日高川町_　　J 金融業，保険業","2.0","6.0","2.0","4.0"
"日高川町_　　K 不動産業，物品賃貸業","7.0","12.0","7.0","5.0"
"日高川町_　　L 学術研究，専門・技術サービス業","7.0","35.0","18.0","17.0"
"日高川町_　　M 宿泊業，飲食サービス業","37.0","188.0","57.0","131.0"
"日高川町_　　N 生活関連サービス業，娯楽業","36.0","112.0","59.0","53.0"
"日高川町_　　O 教育，学習支援業","23.0","44.0","12.0","32.0"
"日高川町_　　P 医療，福祉","21.0","362.0","113.0","249.0"
"日高川町_　　Q 複合サービス事業","12.0","81.0","48.0","33.0"
"日高川町_　　R サービス業(他に分類されないもの)","55.0","134.0","86.0","48.0"
"白浜町_A～R 全産業(S公務を除く)","1130.0","9538.0","4850.0","4681.0"
"白浜町_　A～B 農林漁業","8.0","118.0","89.0","29.0"
"白浜町_　　A 農業，林業","3.0","52.0","47.0","5.0"
"白浜町_　　B 漁業","4.0","65.0","41.0","24.0"
"白浜町_　　@ 農業，林業，漁業 間格付不能","1.0","1.0","1.0","-"
"白浜町_　C～R 非農林漁業(S公務を除く)","1122.0","9420.0","4761.0","4652.0"
"白浜町_　　C 鉱業，採石業，砂利採取業","1.0","28.0","25.0","3.0"
"白浜町_　　D 建設業","127.0","514.0","413.0","101.0"
"白浜町_　　E 製造業","56.0","782.0","393.0","389.0"
"白浜町_　　F 電気・ガス・熱供給・水道業","1.0","3.0","2.0","1.0"
"白浜町_　　G 情報通信業","4.0","90.0","68.0","22.0"
"白浜町_　　H 運輸業，郵便業","19.0","322.0","282.0","40.0"
"白浜町_　　I 卸売業，小売業","269.0","1659.0","794.0","858.0"
"白浜町_　　J 金融業，保険業","4.0","52.0","20.0","32.0"
"白浜町_　　K 不動産業，物品賃貸業","66.0","200.0","126.0","74.0"
"白浜町_　　L 学術研究，専門・技術サービス業","27.0","159.0","116.0","43.0"
"白浜町_　　M 宿泊業，飲食サービス業","292.0","2783.0","1322.0","1461.0"
"白浜町_　　N 生活関連サービス業，娯楽業","90.0","259.0","133.0","126.0"
"白浜町_　　O 教育，学習支援業","20.0","404.0","206.0","198.0"
"白浜町_　　P 医療，福祉","53.0","1256.0","409.0","847.0"
"白浜町_　　Q 複合サービス事業","13.0","152.0","100.0","52.0"
"白浜町_　　R サービス業(他に分類されないもの)","80.0","757.0","352.0","405.0"
"上富田町_A～R 全産業(S公務を除く)","546.0","4239.0","2439.0","1800.0"
"上富田町_　A～B 農林漁業","3.0","18.0","12.0","6.0"
"上富田町_　　A 農業，林業","1.0","2.0","1.0","1.0"
"上富田町_　　B 漁業","2.0","16.0","11.0","5.0"
"上富田町_　　@ 農業，林業，漁業 間格付不能","-","-","-","-"
"上富田町_　C～R 非農林漁業(S公務を除く)","543.0","4221.0","2427.0","1794.0"
"上富田町_　　C 鉱業，採石業，砂利採取業","-","-","-","-"
"上富田町_　　D 建設業","78.0","405.0","322.0","83.0"
"上富田町_　　E 製造業","53.0","1134.0","761.0","373.0"
"上富田町_　　F 電気・ガス・熱供給・水道業","-","-","-","-"
"上富田町_　　G 情報通信業","-","-","-","-"
"上富田町_　　H 運輸業，郵便業","13.0","215.0","195.0","20.0"
"上富田町_　　I 卸売業，小売業","144.0","861.0","437.0","424.0"
"上富田町_　　J 金融業，保険業","4.0","46.0","20.0","26.0"
"上富田町_　　K 不動産業，物品賃貸業","13.0","82.0","69.0","13.0"
"上富田町_　　L 学術研究，専門・技術サービス業","12.0","57.0","45.0","12.0"
"上富田町_　　M 宿泊業，飲食サービス業","65.0","218.0","73.0","145.0"
"上富田町_　　N 生活関連サービス業，娯楽業","56.0","347.0","163.0","184.0"
"上富田町_　　O 教育，学習支援業","17.0","46.0","15.0","31.0"
"上富田町_　　P 医療，福祉","32.0","505.0","124.0","381.0"
"上富田町_　　Q 複合サービス事業","9.0","72.0","45.0","27.0"
"上富田町_　　R サービス業(他に分類されないもの)","47.0","233.0","158.0","75.0"
"すさみ町_A～R 全産業(S公務を除く)","336.0","1426.0","785.0","641.0"
"すさみ町_　A～B 農林漁業","3.0","18.0","12.0","6.0"
"すさみ町_　　A 農業，林業","1.0","3.0","2.0","1.0"
"すさみ町_　　B 漁業","1.0","14.0","9.0","5.0"
"すさみ町_　　@ 農業，林業，漁業 間格付不能","1.0","1.0","1.0","-"
"すさみ町_　C～R 非農林漁業(S公務を除く)","333.0","1408.0","773.0","635.0"
"すさみ町_　　C 鉱業，採石業，砂利採取業","-","-","-","-"
"すさみ町_　　D 建設業","57.0","234.0","204.0","30.0"
"すさみ町_　　E 製造業","30.0","214.0","129.0","85.0"
"すさみ町_　　F 電気・ガス・熱供給・水道業","-","-","-","-"
"すさみ町_　　G 情報通信業","-","-","-","-"
"すさみ町_　　H 運輸業，郵便業","6.0","33.0","29.0","4.0"
"すさみ町_　　I 卸売業，小売業","82.0","261.0","112.0","149.0"
"すさみ町_　　J 金融業，保険業","3.0","19.0","8.0","11.0"
"すさみ町_　　K 不動産業，物品賃貸業","10.0","37.0","27.0","10.0"
"すさみ町_　　L 学術研究，専門・技術サービス業","1.0","3.0","3.0","-"
"すさみ町_　　M 宿泊業，飲食サービス業","39.0","149.0","52.0","97.0"
"すさみ町_　　N 生活関連サービス業，娯楽業","54.0","108.0","54.0","54.0"
"すさみ町_　　O 教育，学習支援業","8.0","15.0","8.0","7.0"
"すさみ町_　　P 医療，福祉","11.0","213.0","63.0","150.0"
"すさみ町_　　Q 複合サービス事業","9.0","68.0","49.0","19.0"
"すさみ町_　　R サービス業(他に分類されないもの)","23.0","54.0","35.0","19.0"
"那智勝浦町_A～R 全産業(S公務を除く)","1036.0","5940.0","3174.0","2766.0"
"那智勝浦町_　A～B 農林漁業","9.0","160.0","148.0","12.0"
"那智勝浦町_　　A 農業，林業","4.0","88.0","87.0","1.0"
"那智勝浦町_　　B 漁業","5.0","72.0","61.0","11.0"
"那智勝浦町_　　@ 農業，林業，漁業 間格付不能","-","-","-","-"
"那智勝浦町_　C～R 非農林漁業(S公務を除く)","1027.0","5780.0","3026.0","2754.0"
"那智勝浦町_　　C 鉱業，採石業，砂利採取業","-","-","-","-"
"那智勝浦町_　　D 建設業","64.0","276.0","233.0","43.0"
"那智勝浦町_　　E 製造業","44.0","341.0","183.0","158.0"
"那智勝浦町_　　F 電気・ガス・熱供給・水道業","-","-","-","-"
"那智勝浦町_　　G 情報通信業","2.0","2.0","1.0","1.0"
"那智勝浦町_　　H 運輸業，郵便業","16.0","367.0","313.0","54.0"
"那智勝浦町_　　I 卸売業，小売業","372.0","1642.0","791.0","851.0"
"那智勝浦町_　　J 金融業，保険業","11.0","92.0","38.0","54.0"
"那智勝浦町_　　K 不動産業，物品賃貸業","32.0","47.0","29.0","18.0"
"那智勝浦町_　　L 学術研究，専門・技術サービス業","24.0","83.0","54.0","29.0"
"那智勝浦町_　　M 宿泊業，飲食サービス業","211.0","1295.0","503.0","792.0"
"那智勝浦町_　　N 生活関連サービス業，娯楽業","105.0","288.0","141.0","147.0"
"那智勝浦町_　　O 教育，学習支援業","18.0","56.0","26.0","30.0"
"那智勝浦町_　　P 医療，福祉","55.0","575.0","187.0","388.0"
"那智勝浦町_　　Q 複合サービス事業","14.0","165.0","123.0","42.0"
"那智勝浦町_　　R サービス業(他に分類されないもの)","59.0","551.0","404.0","147.0"
"太地町_A～R 全産業(S公務を除く)","166.0","656.0","305.0","351.0"
"太地町_　A～B 農林漁業","2.0","21.0","19.0","2.0"
"太地町_　　A 農業，林業","-","-","-","-"
"太地町_　　B 漁業","2.0","21.0","19.0","2.0"
"太地町_　　@ 農業，林業，漁業 間格付不能","-","-","-","-"
"太地町_　C～R 非農林漁業(S公務を除く)","164.0","635.0","286.0","349.0"
"太地町_　　C 鉱業，採石業，砂利採取業","-","-","-","-"
"太地町_　　D 建設業","23.0","68.0","58.0","10.0"
"太地町_　　E 製造業","10.0","83.0","45.0","38.0"
"太地町_　　F 電気・ガス・熱供給・水道業","-","-","-","-"
"太地町_　　G 情報通信業","1.0","2.0","1.0","1.0"
"太地町_　　H 運輸業，郵便業","3.0","5.0","3.0","2.0"
"太地町_　　I 卸売業，小売業","43.0","151.0","57.0","94.0"
"太地町_　　J 金融業，保険業","3.0","25.0","14.0","11.0"
"太地町_　　K 不動産業，物品賃貸業","12.0","25.0","14.0","11.0"
"太地町_　　L 学術研究，専門・技術サービス業","2.0","7.0","2.0","5.0"
"太地町_　　M 宿泊業，飲食サービス業","19.0","104.0","31.0","73.0"
"太地町_　　N 生活関連サービス業，娯楽業","21.0","40.0","20.0","20.0"
"太地町_　　O 教育，学習支援業","7.0","9.0","4.0","5.0"
"太地町_　　P 医療，福祉","10.0","78.0","17.0","61.0"
"太地町_　　Q 複合サービス事業","2.0","15.0","9.0","6.0"
"太地町_　　R サービス業(他に分類されないもの)","8.0","23.0","11.0","12.0"
"古座川町_A～R 全産業(S公務を除く)","174.0","916.0","478.0","438.0"
"古座川町_　A～B 農林漁業","9.0","98.0","86.0","12.0"
"古座川町_　　A 農業，林業","8.0","88.0","77.0","11.0"
"古座川町_　　B 漁業","1.0","10.0","9.0","1.0"
"古座川町_　　@ 農業，林業，漁業 間格付不能","-","-","-","-"
"古座川町_　C～R 非農林漁業(S公務を除く)","165.0","818.0","392.0","426.0"
"古座川町_　　C 鉱業，採石業，砂利採取業","1.0","6.0","4.0","2.0"
"古座川町_　　D 建設業","35.0","100.0","83.0","17.0"
"古座川町_　　E 製造業","8.0","55.0","29.0","26.0"
"古座川町_　　F 電気・ガス・熱供給・水道業","-","-","-","-"
"古座川町_　　G 情報通信業","-","-","-","-"
"古座川町_　　H 運輸業，郵便業","3.0","11.0","10.0","1.0"
"古座川町_　　I 卸売業，小売業","44.0","136.0","57.0","79.0"
"古座川町_　　J 金融業，保険業","3.0","3.0","2.0","1.0"
"古座川町_　　K 不動産業，物品賃貸業","2.0","4.0","2.0","2.0"
"古座川町_　　L 学術研究，専門・技術サービス業","3.0","3.0","3.0","-"
"古座川町_　　M 宿泊業，飲食サービス業","17.0","64.0","29.0","35.0"
"古座川町_　　N 生活関連サービス業，娯楽業","15.0","80.0","34.0","46.0"
"古座川町_　　O 教育，学習支援業","8.0","20.0","4.0","16.0"
"古座川町_　　P 医療，福祉","5.0","278.0","106.0","172.0"
"古座川町_　　Q 複合サービス事業","7.0","30.0","16.0","14.0"
"古座川町_　　R サービス業(他に分類されないもの)","14.0","28.0","13.0","15.0"
"北山村_A～R 全産業(S公務を除く)","43.0","214.0","143.0","71.0"
"北山村_　A～B 農林漁業","1.0","13.0","13.0","-"
"北山村_　　A 農業，林業","1.0","13.0","13.0","-"
"北山村_　　B 漁業","-","-","-","-"
"北山村_　　@ 農業，林業，漁業 間格付不能","-","-","-","-"
"北山村_　C～R 非農林漁業(S公務を除く)","42.0","201.0","130.0","71.0"
"北山村_　　C 鉱業，採石業，砂利採取業","-","-","-","-"
"北山村_　　D 建設業","7.0","52.0","44.0","8.0"
"北山村_　　E 製造業","3.0","9.0","2.0","7.0"
"北山村_　　F 電気・ガス・熱供給・水道業","-","-","-","-"
"北山村_　　G 情報通信業","-","-","-","-"
"北山村_　　H 運輸業，郵便業","2.0","15.0","15.0","-"
"北山村_　　I 卸売業，小売業","8.0","13.0","5.0","8.0"
"北山村_　　J 金融業，保険業","-","-","-","-"
"北山村_　　K 不動産業，物品賃貸業","1.0","1.0","1.0","-"
"北山村_　　L 学術研究，専門・技術サービス業","-","-","-","-"
"北山村_　　M 宿泊業，飲食サービス業","8.0","47.0","26.0","21.0"
"北山村_　　N 生活関連サービス業，娯楽業","5.0","21.0","16.0","5.0"
"北山村_　　O 教育，学習支援業","1.0","7.0","7.0","-"
"北山村_　　P 医療，福祉","1.0","18.0","4.0","14.0"
"北山村_　　Q 複合サービス事業","2.0","10.0","6.0","4.0"
"北山村_　　R サービス業(他に分類されないもの)","4.0","8.0","4.0","4.0"
"串本町_A～R 全産業(S公務を除く)","1117.0","5477.0","2797.0","2680.0"
"串本町_　A～B 農林漁業","24.0","246.0","186.0","60.0"
"串本町_　　A 農業，林業","4.0","69.0","38.0","31.0"
"串本町_　　B 漁業","20.0","177.0","148.0","29.0"
"串本町_　　@ 農業，林業，漁業 間格付不能","-","-","-","-"
"串本町_　C～R 非農林漁業(S公務を除く)","1093.0","5231.0","2611.0","2620.0"
"串本町_　　C 鉱業，採石業，砂利採取業","-","-","-","-"
"串本町_　　D 建設業","107.0","441.0","368.0","73.0"
"串本町_　　E 製造業","61.0","400.0","221.0","179.0"
"串本町_　　F 電気・ガス・熱供給・水道業","1.0","10.0","10.0","-"
"串本町_　　G 情報通信業","5.0","9.0","7.0","2.0"
"串本町_　　H 運輸業，郵便業","22.0","226.0","199.0","27.0"
"串本町_　　I 卸売業，小売業","331.0","1511.0","665.0","846.0"
"串本町_　　J 金融業，保険業","21.0","172.0","62.0","110.0"
"串本町_　　K 不動産業，物品賃貸業","39.0","75.0","53.0","22.0"
"串本町_　　L 学術研究，専門・技術サービス業","22.0","49.0","35.0","14.0"
"串本町_　　M 宿泊業，飲食サービス業","173.0","692.0","252.0","440.0"
"串本町_　　N 生活関連サービス業，娯楽業","146.0","375.0","193.0","182.0"
"串本町_　　O 教育，学習支援業","33.0","107.0","49.0","58.0"
"串本町_　　P 医療，福祉","51.0","782.0","234.0","548.0"
"串本町_　　Q 複合サービス事業","19.0","133.0","85.0","48.0"
"串本町_　　R サービス業(他に分類されないもの)","62.0","249.0","178.0","71.0"
