"産業小分類","事　　業　　所　　数_総　数","事　　業　　所　　数_総　数_存続事業所","事　　業　　所　　数_総　数_新設事業所","事　　業　　所　　数_総　数廃業事業所","従　　業　　者　　数_総　　数","従　　業　　者　　数_総　　数_男","従　　業　　者　　数_総　　数_女","従　　業　　者　　数_総　　数_存続事業所","従　　業　　者　　数_総　　数_存続事業所男","従　　業　　者　　数_総　　数_存続事業所女","従　　業　　者　　数_総　　数_新設事業所","従　　業　　者　　数_総　　数_新設事業所男","従　　業　　者　　数_総　　数_新設事業所女","従　　業　　者　　数_廃業事業所","従　　業　　者　　数_廃業事業所_男","従　　業　　者　　数_廃業事業所_女"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　27 業務用機械器具製造業_　　　　275 光学機械器具・レンズ製造業","1.0","-","1.0","2.0","477.0","280.0","197.0","-","-","-","477.0","280.0","197.0","2.0","2.0","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　27 業務用機械器具製造業_　　　　276 武器製造業","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　28 電子部品・デバイス・電子回路製造業_","17.0","16.0","1.0","5.0","954.0","611.0","343.0","883.0","551.0","332.0","71.0","60.0","11.0","67.0","35.0","32.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　28 電子部品・デバイス・電子回路製造業_　　　　280 管理，補助的経済活動を行う事業所","1.0","1.0","-","-","9.0","4.0","5.0","9.0","4.0","5.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　28 電子部品・デバイス・電子回路製造業_　　　　281 電子デバイス製造業","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　28 電子部品・デバイス・電子回路製造業_　　　　282 電子部品製造業","4.0","3.0","1.0","1.0","259.0","206.0","53.0","188.0","146.0","42.0","71.0","60.0","11.0","20.0","13.0","7.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　28 電子部品・デバイス・電子回路製造業_　　　　283 記録メディア製造業","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　28 電子部品・デバイス・電子回路製造業_　　　　284 電子回路製造業","2.0","2.0","-","1.0","259.0","172.0","87.0","259.0","172.0","87.0","-","-","-","5.0","3.0","2.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　28 電子部品・デバイス・電子回路製造業_　　　　285 ユニット部品製造業","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　28 電子部品・デバイス・電子回路製造業_　　　　289 その他の電子部品・デバイス・電子回路製造業","10.0","10.0","-","3.0","427.0","229.0","198.0","427.0","229.0","198.0","-","-","-","42.0","19.0","23.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　29 電気機械器具製造業_","68.0","62.0","6.0","9.0","2078.0","1453.0","625.0","1493.0","1064.0","429.0","585.0","389.0","196.0","628.0","349.0","279.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　29 電気機械器具製造業_　　　　290 管理，補助的経済活動を行う事業所","2.0","2.0","-","-","3.0","2.0","1.0","3.0","2.0","1.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　29 電気機械器具製造業_　　　　291 発電用・送電用・配電用電気機械器具製造業","37.0","35.0","2.0","5.0","597.0","422.0","175.0","586.0","415.0","171.0","11.0","7.0","4.0","30.0","15.0","15.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　29 電気機械器具製造業_　　　　292 産業用電気機械器具製造業","8.0","5.0","3.0","2.0","455.0","217.0","238.0","151.0","82.0","69.0","304.0","135.0","169.0","410.0","167.0","243.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　29 電気機械器具製造業_　　　　293 民生用電気機械器具製造業","7.0","7.0","-","-","193.0","106.0","87.0","193.0","106.0","87.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　29 電気機械器具製造業_　　　　294 電球・電気照明器具製造業","3.0","3.0","-","1.0","49.0","30.0","19.0","49.0","30.0","19.0","-","-","-","3.0","1.0","2.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　29 電気機械器具製造業_　　　　295 電池製造業","6.0","5.0","1.0","1.0","653.0","563.0","90.0","383.0","316.0","67.0","270.0","247.0","23.0","185.0","166.0","19.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　29 電気機械器具製造業_　　　　296 電子応用装置製造業","1.0","1.0","-","-","9.0","6.0","3.0","9.0","6.0","3.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　29 電気機械器具製造業_　　　　297 電気計測器製造業","3.0","3.0","-","-","71.0","60.0","11.0","71.0","60.0","11.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　29 電気機械器具製造業_　　　　299 その他の電気機械器具製造業","1.0","1.0","-","-","48.0","47.0","1.0","48.0","47.0","1.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　30 情報通信機械器具製造業_","7.0","7.0","-","2.0","330.0","185.0","145.0","330.0","185.0","145.0","-","-","-","13.0","9.0","4.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　30 情報通信機械器具製造業_　　　　300 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　30 情報通信機械器具製造業_　　　　301 通信機械器具・同関連機械器具製造業","3.0","3.0","-","1.0","319.0","177.0","142.0","319.0","177.0","142.0","-","-","-","8.0","7.0","1.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　30 情報通信機械器具製造業_　　　　302 映像・音響機械器具製造業","1.0","1.0","-","-","3.0","2.0","1.0","3.0","2.0","1.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　30 情報通信機械器具製造業_　　　　303 電子計算機・同附属装置製造業","3.0","3.0","-","1.0","8.0","6.0","2.0","8.0","6.0","2.0","-","-","-","5.0","2.0","3.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　31 輸送用機械器具製造業_","69.0","68.0","1.0","2.0","873.0","688.0","185.0","864.0","680.0","184.0","9.0","8.0","1.0","2.0","2.0","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　31 輸送用機械器具製造業_　　　　310 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　31 輸送用機械器具製造業_　　　　311 自動車・同附属品製造業","18.0","18.0","-","-","321.0","242.0","79.0","321.0","242.0","79.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　31 輸送用機械器具製造業_　　　　312 鉄道車両・同部分品製造業","1.0","-","1.0","-","9.0","8.0","1.0","-","-","-","9.0","8.0","1.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　31 輸送用機械器具製造業_　　　　313 船舶製造・修理業，舶用機関製造業","45.0","45.0","-","2.0","483.0","397.0","86.0","483.0","397.0","86.0","-","-","-","2.0","2.0","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　31 輸送用機械器具製造業_　　　　314 航空機・同附属品製造業","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　31 輸送用機械器具製造業_　　　　315 産業用運搬車両・同部分品・附属品製造業","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　31 輸送用機械器具製造業_　　　　319 その他の輸送用機械器具製造業","5.0","5.0","-","-","60.0","41.0","19.0","60.0","41.0","19.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　32 その他の製造業_","360.0","354.0","6.0","48.0","2334.0","1347.0","987.0","2308.0","1332.0","976.0","26.0","15.0","11.0","138.0","83.0","55.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　32 その他の製造業_　　　　320 管理，補助的経済活動を行う事業所","4.0","4.0","-","-","50.0","18.0","32.0","50.0","18.0","32.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　32 その他の製造業_　　　　321 貴金属・宝石製品製造業","4.0","4.0","-","-","12.0","5.0","7.0","12.0","5.0","7.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　32 その他の製造業_　　　　322 装身具・装飾品・ボタン・同関連品製造業(貴金属・宝石製を除く)","18.0","18.0","-","2.0","308.0","191.0","117.0","308.0","191.0","117.0","-","-","-","6.0","5.0","1.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　32 その他の製造業_　　　　323 時計・同部分品製造業","1.0","1.0","-","-","3.0","2.0","1.0","3.0","2.0","1.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　32 その他の製造業_　　　　324 楽器製造業","1.0","1.0","-","-","9.0","6.0","3.0","9.0","6.0","3.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　32 その他の製造業_　　　　325 がん具・運動用具製造業","31.0","31.0","-","9.0","331.0","189.0","142.0","331.0","189.0","142.0","-","-","-","20.0","12.0","8.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　32 その他の製造業_　　　　326 ペン・鉛筆・絵画用品・その他の事務用品製造業","1.0","1.0","-","1.0","2.0","1.0","1.0","2.0","1.0","1.0","-","-","-","1.0","1.0","-"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　32 その他の製造業_　　　　327 漆器製造業","79.0","79.0","-","6.0","351.0","166.0","185.0","351.0","166.0","185.0","-","-","-","16.0","6.0","10.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　32 その他の製造業_　　　　328 畳等生活雑貨製品製造業","119.0","116.0","3.0","12.0","678.0","383.0","295.0","664.0","376.0","288.0","14.0","7.0","7.0","32.0","19.0","13.0"
"　C～R 非農林漁業(S公務を除く)_　　E 製造業_　　　32 その他の製造業_　　　　329 他に分類されない製造業","102.0","99.0","3.0","18.0","590.0","386.0","204.0","578.0","378.0","200.0","12.0","8.0","4.0","63.0","40.0","23.0"
"　C～R 非農林漁業(S公務を除く)_　　　EZ 製造業 内格付不能_","32.0","30.0","2.0","-","939.0","874.0","65.0","934.0","870.0","64.0","5.0","4.0","1.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　　EZZ 製造業 内格付不能_","32.0","30.0","2.0","-","939.0","874.0","65.0","934.0","870.0","64.0","5.0","4.0","1.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　F 電気・ガス・熱供給・水道業_","37.0","35.0","2.0","7.0","1625.0","1539.0","86.0","1602.0","1520.0","82.0","23.0","19.0","4.0","220.0","198.0","22.0"
"　C～R 非農林漁業(S公務を除く)_　　F 電気・ガス・熱供給・水道業_　　　33 電気業_","25.0","24.0","1.0","2.0","1471.0","1405.0","66.0","1468.0","1402.0","66.0","3.0","3.0","-","18.0","18.0","-"
"　C～R 非農林漁業(S公務を除く)_　　F 電気・ガス・熱供給・水道業_　　　33 電気業_　　　　330 管理，補助的経済活動を行う事業所","17.0","17.0","-","-","1041.0","978.0","63.0","1041.0","978.0","63.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　F 電気・ガス・熱供給・水道業_　　　33 電気業_　　　　331 電気業","8.0","7.0","1.0","2.0","430.0","427.0","3.0","427.0","424.0","3.0","3.0","3.0","-","18.0","18.0","-"
"　C～R 非農林漁業(S公務を除く)_　　F 電気・ガス・熱供給・水道業_　　　34 ガス業_","3.0","3.0","-","1.0","95.0","83.0","12.0","95.0","83.0","12.0","-","-","-","52.0","41.0","11.0"
"　C～R 非農林漁業(S公務を除く)_　　F 電気・ガス・熱供給・水道業_　　　34 ガス業_　　　　340 管理，補助的経済活動を行う事業所","1.0","1.0","-","-","66.0","60.0","6.0","66.0","60.0","6.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　F 電気・ガス・熱供給・水道業_　　　34 ガス業_　　　　341 ガス業","2.0","2.0","-","1.0","29.0","23.0","6.0","29.0","23.0","6.0","-","-","-","52.0","41.0","11.0"
"　C～R 非農林漁業(S公務を除く)_　　F 電気・ガス・熱供給・水道業_　　　35 熱供給業_","1.0","1.0","-","-","3.0","3.0","-","3.0","3.0","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　F 電気・ガス・熱供給・水道業_　　　35 熱供給業_　　　　350 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　F 電気・ガス・熱供給・水道業_　　　35 熱供給業_　　　　351 熱供給業","1.0","1.0","-","-","3.0","3.0","-","3.0","3.0","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　F 電気・ガス・熱供給・水道業_　　　36 水道業_","8.0","7.0","1.0","4.0","56.0","48.0","8.0","36.0","32.0","4.0","20.0","16.0","4.0","150.0","139.0","11.0"
"　C～R 非農林漁業(S公務を除く)_　　F 電気・ガス・熱供給・水道業_　　　36 水道業_　　　　360 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　F 電気・ガス・熱供給・水道業_　　　36 水道業_　　　　361 上水道業","1.0","1.0","-","-","7.0","6.0","1.0","7.0","6.0","1.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　F 電気・ガス・熱供給・水道業_　　　36 水道業_　　　　362 工業用水道業","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　F 電気・ガス・熱供給・水道業_　　　36 水道業_　　　　363 下水道業","7.0","6.0","1.0","4.0","49.0","42.0","7.0","29.0","26.0","3.0","20.0","16.0","4.0","150.0","139.0","11.0"
"　C～R 非農林漁業(S公務を除く)_　　　FZ 電気・ガス・熱供給・水道業 内格付不能_","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　　FZZ 電気・ガス・熱供給・水道業 内格付不能_","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　G 情報通信業_","267.0","252.0","15.0","58.0","3291.0","1823.0","1378.0","3248.0","1791.0","1367.0","43.0","32.0","11.0","276.0","171.0","105.0"
"　C～R 非農林漁業(S公務を除く)_　　G 情報通信業_　　　37 通信業_","34.0","31.0","3.0","11.0","466.0","276.0","190.0","455.0","267.0","188.0","11.0","9.0","2.0","52.0","25.0","27.0"
"　C～R 非農林漁業(S公務を除く)_　　G 情報通信業_　　　37 通信業_　　　　370 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　G 情報通信業_　　　37 通信業_　　　　371 固定電気通信業","7.0","7.0","-","1.0","208.0","177.0","31.0","208.0","177.0","31.0","-","-","-","4.0","2.0","2.0"
"　C～R 非農林漁業(S公務を除く)_　　G 情報通信業_　　　37 通信業_　　　　372 移動電気通信業","3.0","2.0","1.0","2.0","49.0","40.0","9.0","45.0","36.0","9.0","4.0","4.0","-","6.0","2.0","4.0"
"　C～R 非農林漁業(S公務を除く)_　　G 情報通信業_　　　37 通信業_　　　　373 電気通信に附帯するサービス業","24.0","22.0","2.0","8.0","209.0","59.0","150.0","202.0","54.0","148.0","7.0","5.0","2.0","42.0","21.0","21.0"
"　C～R 非農林漁業(S公務を除く)_　　G 情報通信業_　　　38 放送業_","18.0","17.0","1.0","1.0","415.0","230.0","95.0","412.0","228.0","94.0","3.0","2.0","1.0","20.0","11.0","9.0"
"　C～R 非農林漁業(S公務を除く)_　　G 情報通信業_　　　38 放送業_　　　　380 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　G 情報通信業_　　　38 放送業_　　　　381 公共放送業(有線放送業を除く)","1.0","1.0","-","-","91.0","57.0","34.0","91.0","57.0","34.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　G 情報通信業_　　　38 放送業_　　　　382 民間放送業(有線放送業を除く)","9.0","9.0","-","-","247.0","112.0","45.0","247.0","112.0","45.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　G 情報通信業_　　　38 放送業_　　　　383 有線放送業","8.0","7.0","1.0","1.0","77.0","61.0","16.0","74.0","59.0","15.0","3.0","2.0","1.0","20.0","11.0","9.0"
"　C～R 非農林漁業(S公務を除く)_　　G 情報通信業_　　　39 情報サービス業_","123.0","116.0","7.0","22.0","1587.0","815.0","772.0","1562.0","798.0","764.0","25.0","17.0","8.0","106.0","78.0","28.0"
"　C～R 非農林漁業(S公務を除く)_　　G 情報通信業_　　　39 情報サービス業_　　　　390 管理，補助的経済活動を行う事業所","1.0","1.0","-","-","1.0","1.0","-","1.0","1.0","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　G 情報通信業_　　　39 情報サービス業_　　　　391 ソフトウェア業","68.0","62.0","6.0","17.0","689.0","461.0","228.0","676.0","448.0","228.0","13.0","13.0","-","86.0","65.0","21.0"
"　C～R 非農林漁業(S公務を除く)_　　G 情報通信業_　　　39 情報サービス業_　　　　392 情報処理・提供サービス業","54.0","53.0","1.0","5.0","897.0","353.0","544.0","885.0","349.0","536.0","12.0","4.0","8.0","20.0","13.0","7.0"
"　C～R 非農林漁業(S公務を除く)_　　G 情報通信業_　　　40 インターネット附随サービス業_","11.0","10.0","1.0","8.0","87.0","53.0","34.0","86.0","52.0","34.0","1.0","1.0","-","28.0","16.0","12.0"
"　C～R 非農林漁業(S公務を除く)_　　G 情報通信業_　　　40 インターネット附随サービス業_　　　　400 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　G 情報通信業_　　　40 インターネット附随サービス業_　　　　401 インターネット附随サービス業","11.0","10.0","1.0","8.0","87.0","53.0","34.0","86.0","52.0","34.0","1.0","1.0","-","28.0","16.0","12.0"
"　C～R 非農林漁業(S公務を除く)_　　G 情報通信業_　　　41 映像・音声・文字情報制作業_","78.0","75.0","3.0","16.0","708.0","445.0","263.0","705.0","442.0","263.0","3.0","3.0","-","70.0","41.0","29.0"
"　C～R 非農林漁業(S公務を除く)_　　G 情報通信業_　　　41 映像・音声・文字情報制作業_　　　　410 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　G 情報通信業_　　　41 映像・音声・文字情報制作業_　　　　411 映像情報制作・配給業","9.0","9.0","-","2.0","125.0","63.0","62.0","125.0","63.0","62.0","-","-","-","8.0","6.0","2.0"
"　C～R 非農林漁業(S公務を除く)_　　G 情報通信業_　　　41 映像・音声・文字情報制作業_　　　　412 音声情報制作業","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　G 情報通信業_　　　41 映像・音声・文字情報制作業_　　　　413 新聞業","13.0","13.0","-","5.0","350.0","217.0","133.0","350.0","217.0","133.0","-","-","-","26.0","15.0","11.0"
"　C～R 非農林漁業(S公務を除く)_　　G 情報通信業_　　　41 映像・音声・文字情報制作業_　　　　414 出版業","12.0","12.0","-","1.0","96.0","70.0","26.0","96.0","70.0","26.0","-","-","-","12.0","3.0","9.0"
"　C～R 非農林漁業(S公務を除く)_　　G 情報通信業_　　　41 映像・音声・文字情報制作業_　　　　415 広告制作業","7.0","7.0","-","-","34.0","17.0","17.0","34.0","17.0","17.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　G 情報通信業_　　　41 映像・音声・文字情報制作業_　　　　416 映像・音声・文字情報制作に附帯するサービス業","37.0","34.0","3.0","8.0","103.0","78.0","25.0","100.0","75.0","25.0","3.0","3.0","-","24.0","17.0","7.0"
"　C～R 非農林漁業(S公務を除く)_　　　G1 通信業，放送業，映像・音声・文字情報制作業 内格付不能_","3.0","3.0","-","-","28.0","4.0","24.0","28.0","4.0","24.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　　G1Z 通信業，放送業，映像・音声・文字情報制作業 内格付不能_","3.0","3.0","-","-","28.0","4.0","24.0","28.0","4.0","24.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　G2 情報サービス業，インターネット附随サービス業 内格付不能_","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　　　G2Z 情報サービス業，インターネット附随サービス業 内格付不能_","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_","981.0","960.0","21.0","156.0","20201.0","16946.0","3255.0","19780.0","16656.0","3124.0","421.0","290.0","131.0","1434.0","1211.0","223.0"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　42 鉄道業_","41.0","36.0","5.0","7.0","1586.0","1435.0","151.0","1483.0","1339.0","144.0","103.0","96.0","7.0","157.0","152.0","5.0"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　42 鉄道業_　　　　420 管理，補助的経済活動を行う事業所","1.0","1.0","-","-","12.0","11.0","1.0","12.0","11.0","1.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　42 鉄道業_　　　　421 鉄道業","40.0","35.0","5.0","7.0","1574.0","1424.0","150.0","1471.0","1328.0","143.0","103.0","96.0","7.0","157.0","152.0","5.0"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　43 道路旅客運送業_","142.0","141.0","1.0","17.0","3228.0","2912.0","316.0","3226.0","2911.0","315.0","2.0","1.0","1.0","164.0","139.0","25.0"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　43 道路旅客運送業_　　　　430 管理，補助的経済活動を行う事業所","1.0","1.0","-","-","16.0","12.0","4.0","16.0","12.0","4.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　43 道路旅客運送業_　　　　431 一般乗合旅客自動車運送業","15.0","15.0","-","1.0","604.0","556.0","48.0","604.0","556.0","48.0","-","-","-","16.0","15.0","1.0"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　43 道路旅客運送業_　　　　432 一般乗用旅客自動車運送業","105.0","104.0","1.0","13.0","2052.0","1851.0","201.0","2050.0","1850.0","200.0","2.0","1.0","1.0","108.0","90.0","18.0"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　43 道路旅客運送業_　　　　433 一般貸切旅客自動車運送業","19.0","19.0","-","3.0","502.0","448.0","54.0","502.0","448.0","54.0","-","-","-","40.0","34.0","6.0"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　43 道路旅客運送業_　　　　439 その他の道路旅客運送業","2.0","2.0","-","-","54.0","45.0","9.0","54.0","45.0","9.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　44 道路貨物運送業_","549.0","539.0","10.0","94.0","9963.0","8767.0","1196.0","9841.0","8662.0","1179.0","122.0","105.0","17.0","886.0","752.0","134.0"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　44 道路貨物運送業_　　　　440 管理，補助的経済活動を行う事業所","-","-","-","1.0","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　44 道路貨物運送業_　　　　441 一般貨物自動車運送業","490.0","485.0","5.0","78.0","9525.0","8395.0","1130.0","9437.0","8315.0","1122.0","88.0","80.0","8.0","842.0","715.0","127.0"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　44 道路貨物運送業_　　　　442 特定貨物自動車運送業","20.0","20.0","-","-","174.0","155.0","19.0","174.0","155.0","19.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　44 道路貨物運送業_　　　　443 貨物軽自動車運送業","29.0","25.0","4.0","15.0","103.0","81.0","22.0","83.0","65.0","18.0","20.0","16.0","4.0","44.0","37.0","7.0"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　44 道路貨物運送業_　　　　444 集配利用運送業","7.0","6.0","1.0","-","102.0","81.0","21.0","88.0","72.0","16.0","14.0","9.0","5.0","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　44 道路貨物運送業_　　　　449 その他の道路貨物運送業","3.0","3.0","-","-","59.0","55.0","4.0","59.0","55.0","4.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　45 水運業_","40.0","39.0","1.0","12.0","302.0","251.0","51.0","296.0","247.0","49.0","6.0","4.0","2.0","59.0","47.0","12.0"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　45 水運業_　　　　450 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　45 水運業_　　　　451 外航海運業","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　45 水運業_　　　　452 沿海海運業","17.0","16.0","1.0","7.0","119.0","97.0","22.0","113.0","93.0","20.0","6.0","4.0","2.0","44.0","36.0","8.0"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　45 水運業_　　　　453 内陸水運業","8.0","8.0","-","4.0","51.0","39.0","12.0","51.0","39.0","12.0","-","-","-","8.0","5.0","3.0"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　45 水運業_　　　　454 船舶貸渡業","15.0","15.0","-","1.0","132.0","115.0","17.0","132.0","115.0","17.0","-","-","-","7.0","6.0","1.0"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　46 航空運輸業_","1.0","1.0","-","1.0","3.0","2.0","1.0","3.0","2.0","1.0","-","-","-","3.0","3.0","-"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　46 航空運輸業_　　　　460 管理，補助的経済活動を行う事業所","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　46 航空運輸業_　　　　461 航空運送業","1.0","1.0","-","-","3.0","2.0","1.0","3.0","2.0","1.0","-","-","-","-","-","-"
"　C～R 非農林漁業(S公務を除く)_　　H 運輸業，郵便業_　　　46 航空運輸業_　　　　462 航空機使用業(航空運送業を除く)","-","-","-","1.0","-","-","-","-","-","-","-","-","-","3.0","3.0","-"
